nm	mua[cm-1]
1146.0	0.8955000000000001
1148.0	0.9612
1150.0	1.026
1152.0	1.084
1154.0	1.134
1156.0	1.174
1158.0	1.2
1160.0	1.224
1162.0	1.252
1164.0	1.268
1166.0	1.283
1168.0	1.301
1170.0	1.312
1172.0	1.322
1174.0	1.332
1176.0	1.343
1178.0	1.3370000000000002
1180.0	1.354
1182.0	1.37
1184.0	1.368
1186.0	1.381
1188.0	1.389
1190.0	1.3969999999999998
1192.0	1.401
1194.0	1.394
1196.0	1.398
1198.0	1.391
1200.0	1.383
1202.0	1.392
1204.0	1.373
1206.0	1.364
1208.0	1.3569999999999998
1210.0	1.342
1212.0	1.3370000000000002
1214.0	1.332
1216.0	1.31
1218.0	1.3170000000000002
1220.0	1.2959999999999998
1222.0	1.286
1224.0	1.291
1226.0	1.266
1228.0	1.266
1230.0	1.2559999999999998
1232.0	1.239
1234.0	1.251
1236.0	1.226
1238.0	1.219
1240.0	1.228
1242.0	1.191
1244.0	1.199
1246.0	1.196
1248.0	1.169
1250.0	1.181
1252.0	1.163
1254.0	1.154
1256.0	1.158
1258.0	1.134
1260.0	1.144
1262.0	1.142
1264.0	1.128
1266.0	1.146
1268.0	1.133
1270.0	1.131
1272.0	1.148
1274.0	1.135
1276.0	1.154
1278.0	1.164
1280.0	1.156
1282.0	1.177
1284.0	1.186
1286.0	1.191
1288.0	1.227
1290.0	1.223
1292.0	1.241
1294.0	1.267
1296.0	1.27
1298.0	1.3050000000000002
1300.0	1.33
1302.0	1.353
1304.0	1.402
1306.0	1.42
1308.0	1.461
1310.0	1.524
1312.0	1.545
1314.0	1.61
1316.0	1.663
1318.0	1.712
1320.0	1.786
1322.0	1.846
1324.0	1.911
1326.0	1.999
1328.0	2.068
1330.0	2.1590000000000003
1332.0	2.24
1334.0	2.316
1336.0	2.415
1338.0	2.499
1340.0	2.596
1342.0	2.708
1344.0	2.7700000000000005
1346.0	2.867
1348.0	2.9770000000000003
1350.0	3.046
1352.0	3.144
1354.0	3.227
1356.0	3.303
1358.0	3.373
1360.0	3.47
1362.0	3.579
1364.0	3.673
1366.0	3.772
1368.0	3.896
1370.0	4.044
1372.0	4.248
1374.0	4.478
1376.0	4.732
1378.0	5.017
1380.0	5.376
1382.0	5.782
1384.0	6.343
1386.0	7.029999999999999
1388.0	7.723
1390.0	8.652999999999999
1392.0	9.547
1394.0	10.66
1396.0	11.65
1398.0	12.98
1400.0	14.32
1402.0	15.12
1404.0	16.57
1406.0	17.0
1408.0	18.26
1410.0	18.89
1412.0	19.99
1414.0	20.43
1416.0	21.42
1418.0	21.575
1420.0	21.47
1422.0	22.41
1424.0	22.395
1426.0	22.27
1428.0	22.75
1430.0	22.75
1432.0	22.35
1434.0	22.685
1436.0	23.105
1438.0	23.4
1440.0	23.46
1442.0	23.99
1444.0	23.35
1446.0	23.0
1448.0	23.380000000000003
1450.0	23.89
1452.0	23.04
1454.0	24.64
1456.0	23.615
1458.0	22.89
1460.0	23.880000000000003
1462.0	24.04
1464.0	23.410000000000004
1466.0	23.135
1468.0	24.245
1470.0	23.33
1472.0	22.325000000000003
1474.0	22.360000000000003
1476.0	22.16
1478.0	21.67
1480.0	21.880000000000003
1482.0	21.840000000000003
1484.0	21.03
1486.0	22.195
1488.0	21.22
1490.0	20.49
1492.0	20.22
1494.0	19.72
1496.0	19.5
1498.0	20.755
1500.0	19.33
1502.0	18.56
1504.0	19.1
1506.0	18.36
1508.0	17.73
1510.0	17.310000000000002
1512.0	17.509999999999998
1514.0	16.84
1516.0	16.95
1518.0	16.51
1520.0	16.0
1522.0	15.67
1524.0	15.27
1526.0	14.82
1528.0	14.76
1530.0	14.8
1532.0	13.9
1534.0	14.035
1536.0	13.66
1538.0	13.13
1540.0	12.82
1542.0	13.11
1544.0	12.65
1546.0	12.07
1548.0	12.330000000000002
1550.0	11.81
1552.0	11.46
1554.0	11.56
1556.0	11.23
1558.0	10.920000000000002
1560.0	11.05
1562.0	10.68
1564.0	10.36
1566.0	10.11
1568.0	10.169999999999998
1570.0	9.827
1572.0	9.685
1574.0	9.626
1576.0	9.227
1578.0	9.154
1580.0	9.0
1582.0	8.77
1584.0	8.834
1586.0	8.497
1588.0	8.535
1590.0	8.204
1592.0	8.292
1594.0	7.971
1596.0	7.835999999999999
1598.0	7.881
