nm	mua[cm-1]	musp[cm-1]
822.0	0.6386000000000001	6.088
824.0	0.6345000000000001	6.059
826.0	0.635	6.046
828.0	0.631	6.027
830.0	0.629	6.031
832.0	0.6252000000000001	6.009
834.0	0.6263000000000001	5.999
836.0	0.6207	5.9670000000000005
838.0	0.6216	5.959
840.0	0.6191	5.941999999999999
842.0	0.6152	5.913
844.0	0.6141	5.917
846.0	0.6111	5.882
848.0	0.6098	5.878
850.0	0.6082	5.847
852.0	0.603	5.835
854.0	0.6008	5.814
856.0	0.5991	5.793
858.0	0.5969	5.795
860.0	0.5924	5.769
862.0	0.5928	5.766
864.0	0.5903	5.735
866.0	0.5906	5.728999999999999
868.0	0.5861999999999999	5.707
870.0	0.5899	5.709
872.0	0.5861000000000001	5.68
874.0	0.5883	5.676
876.0	0.5809	5.634
878.0	0.5827	5.636
880.0	0.5806	5.611000000000001
882.0	0.5802	5.620000000000001
884.0	0.5772999999999999	5.582000000000001
886.0	0.5777	5.576
888.0	0.5757	5.547
890.0	0.5732	5.531000000000001
892.0	0.5758	5.540000000000001
894.0	0.5750000000000001	5.507
896.0	0.574	5.488
898.0	0.5763	5.484999999999999
900.0	0.5789	5.484
902.0	0.5835	5.456
904.0	0.5855	5.449000000000001
906.0	0.5897	5.417
908.0	0.5972999999999999	5.4030000000000005
910.0	0.6071	5.396999999999999
912.0	0.611	5.395
914.0	0.6182	5.37
916.0	0.6192	5.356
918.0	0.6194000000000001	5.343999999999999
920.0	0.6201	5.339
922.0	0.6189	5.316
924.0	0.6241	5.298
926.0	0.6263000000000001	5.300000000000001
928.0	0.6264000000000001	5.263999999999999
930.0	0.6253	5.268000000000001
932.0	0.6201	5.246
934.0	0.6121	5.233
936.0	0.601	5.213
938.0	0.5874999999999999	5.197000000000001
940.0	0.5751	5.199
942.0	0.5578000000000001	5.181
944.0	0.5451	5.166
946.0	0.5367000000000001	5.143
948.0	0.5258	5.114
950.0	0.5201	5.1080000000000005
952.0	0.5134	5.101
954.0	0.5065999999999999	5.084999999999999
956.0	0.5004	5.082
958.0	0.4965	5.069
