nm	mua[cm-1]	musp[cm-1]
836.0	0.1565	3.832
838.0	0.1583	3.827
840.0	0.1566	3.813
842.0	0.1568	3.798
844.0	0.1568	3.786
846.0	0.1563	3.773
848.0	0.1568999999999999	3.771
850.0	0.1567	3.757
852.0	0.1596	3.755
854.0	0.1604999999999999	3.729
856.0	0.1583999999999999	3.731
858.0	0.1571	3.716
860.0	0.1578999999999999	3.703
862.0	0.1585	3.707
864.0	0.1571	3.677000000000001
866.0	0.1538999999999999	3.67
868.0	0.1563	3.662
870.0	0.1542	3.655
872.0	0.1582	3.646
874.0	0.1592	3.644
876.0	0.1658	3.624
878.0	0.1664	3.609
880.0	0.1703	3.611
882.0	0.1679	3.5970000000000004
884.0	0.1677	3.588
886.0	0.1654	3.576
888.0	0.1688	3.573
890.0	0.1716	3.5620000000000003
892.0	0.1757	3.544
894.0	0.1791999999999999	3.548
896.0	0.1857	3.522
898.0	0.1975	3.524
900.0	0.2091	3.503
902.0	0.2227	3.495
904.0	0.242	3.498
906.0	0.2667	3.491
908.0	0.2857	3.468
910.0	0.281	3.4610000000000003
912.0	0.2377999999999999	3.4560000000000004
914.0	0.2072	3.4399999999999995
916.0	0.1943	3.426
918.0	0.1886	3.411
920.0	0.1784	3.411
922.0	0.1714999999999999	3.387
924.0	0.1627	3.382
926.0	0.1602	3.369
928.0	0.1553	3.366
930.0	0.1586	3.375
932.0	0.1565	3.362
934.0	0.1557	3.353
936.0	0.1544	3.341
938.0	0.1556	3.319
940.0	0.1542	3.302
942.0	0.1594	3.302
944.0	0.1568	3.2940000000000005
946.0	0.1581	3.282
948.0	0.1611	3.278
950.0	0.1592	3.26
952.0	0.1578999999999999	3.257
954.0	0.1578999999999999	3.252
956.0	0.1575	3.242
958.0	0.1582	3.232
960.0	0.1564	3.216
962.0	0.1578999999999999	3.213
964.0	0.1561	3.206
966.0	0.1575	3.1979999999999995
968.0	0.158	3.182
970.0	0.1557	3.1740000000000004
972.0	0.1552	3.161
974.0	0.1567	3.16
976.0	0.1585	3.152
978.0	0.1551	3.136
980.0	0.1541	3.129
982.0	0.1568999999999999	3.133
984.0	0.1563	3.112
986.0	0.1583	3.103
988.0	0.1617	3.099
990.0	0.1633	3.091
992.0	0.1653	3.08
994.0	0.1672999999999999	3.067
996.0	0.166	3.055
998.0	0.1694999999999999	3.047
1000.0	0.1722	3.039
1002.0	0.1755	3.029
1004.0	0.1811	3.02
1006.0	0.1801	3.006
1008.0	0.1823	3.002
1010.0	0.1858999999999999	2.9930000000000003
1012.0	0.1879	2.99
1014.0	0.1976	2.982
1016.0	0.2029	2.975
1018.0	0.2086	2.9570000000000003
1020.0	0.2163999999999999	2.951
1022.0	0.2101	2.946
1024.0	0.2084	2.938
1026.0	0.2054	2.931
1028.0	0.1963	2.923
1030.0	0.1941999999999999	2.914
1032.0	0.183	2.909
1034.0	0.1791999999999999	2.899
1036.0	0.1761	2.8960000000000004
1038.0	0.1682	2.886
1040.0	0.1694999999999999	2.877
1042.0	0.1678	2.865
1044.0	0.1657	2.862
1046.0	0.1684	2.842
1048.0	0.1628	2.839
1050.0	0.1644	2.833
1052.0	0.1672	2.822
1054.0	0.1641	2.8149999999999995
1056.0	0.1672	2.808
1058.0	0.1677	2.801
1060.0	0.1663	2.8000000000000003
1062.0	0.1714	2.786
1064.0	0.1662	2.779
1066.0	0.1699	2.771
1068.0	0.1689999999999999	2.769
1070.0	0.1665	2.759
1072.0	0.1747	2.747
1074.0	0.1733	2.737
1076.0	0.1754	2.729
1078.0	0.183	2.721
1080.0	0.1798	2.722
1082.0	0.1865	2.7150000000000003
1084.0	0.1876	2.71
1086.0	0.1856	2.702
1088.0	0.1926999999999999	2.686
1090.0	0.1911	2.682
1092.0	0.1932	2.676
1094.0	0.1976	2.664
1096.0	0.1924	2.666
1098.0	0.2	2.647
1100.0	0.1943	2.642
1102.0	0.1854	2.64
1104.0	0.1871	2.633
1106.0	0.178	2.632
1108.0	0.1768	2.6140000000000003
1110.0	0.178	2.603
1112.0	0.1718	2.604
1114.0	0.1774	2.591
1116.0	0.1757	2.586
1118.0	0.175	2.581
1120.0	0.1825999999999999	2.5700000000000003
1122.0	0.1795	2.564
1124.0	0.1856	2.56
1126.0	0.1916999999999999	2.552
1128.0	0.1933	2.5530000000000004
1130.0	0.2031	2.542
1132.0	0.2057	2.542
1134.0	0.2137	2.529
1136.0	0.2271	2.522
1138.0	0.2385999999999999	2.522
1140.0	0.2622	2.514
1142.0	0.2922	2.505
1144.0	0.3273999999999999	2.505
1146.0	0.371	2.489
1148.0	0.3988	2.496
1150.0	0.4311999999999999	2.488
1152.0	0.4442	2.483
1154.0	0.4438	2.472
1156.0	0.4503	2.465
1158.0	0.4502	2.46
1160.0	0.4412	2.45
1162.0	0.4329	2.446
1164.0	0.4259	2.437
1166.0	0.4292	2.431
1168.0	0.4512	2.425
1170.0	0.4927	2.4210000000000003
1172.0	0.5489	2.424
1174.0	0.6244000000000001	2.419
1176.0	0.7317	2.422
1178.0	0.8749	2.433
1180.0	1.0739999999999998	2.442
1182.0	1.301	2.46
1184.0	1.515	2.472
1186.0	1.634	2.468
1188.0	1.631	2.46
1190.0	1.524	2.453
1192.0	1.3159999999999998	2.427
1194.0	1.0	2.389
1196.0	0.7289	2.349
1198.0	0.5441	2.326
1200.0	0.4295	2.324
1202.0	0.3686	2.3000000000000003
1204.0	0.3202	2.296
1206.0	0.2962	2.2880000000000003
1208.0	0.2903	2.279
1210.0	0.2844	2.281
1212.0	0.296	2.273
1214.0	0.3083	2.265
1216.0	0.3091	2.265
1218.0	0.3054	2.246
1220.0	0.281	2.248
1222.0	0.2608999999999999	2.236
1224.0	0.2441	2.226
