nm	musp[cm-1]
450.0	21.828985164649282
451.0008703220191	21.767113602863713
452.0017406440383	21.70579492678449
453.00261096605743	21.645022246308546
454.0034812880766	21.58478877507071
455.00435161009574	21.525087828641166
456.00522193211486	21.465912822758195
457.00609225413405	21.407257271595537
458.00696257615317	21.349114786063502
459.0078328981723	21.291479072143165
460.0087032201915	21.234343929252955
461.0095735422106	21.177703248646836
462.0104438642298	21.12155101184354
463.0113141862489	21.065881289086043
464.01218450826804	21.010688237830742
465.0130548302872	20.95596610126566
466.01392515230634	20.90170920685701
467.0147954743255	20.84791196492364
468.01566579634465	20.79456886723861
469.0165361183638	20.74167448565747
470.01740644038296	20.689223470772525
471.0182767624021	20.637210550592727
472.0191470844212	20.585630529248434
473.0200174064404	20.53447828572072
474.0208877284595	20.483748772594573
475.0217580504787	20.433437014835544
476.0226283724978	20.383538108589356
477.02349869451695	20.33404722000399
478.0243690165361	20.28495958407375
479.02523933855525	20.23627050350491
480.02610966057443	20.187975347602446
481.02697998259356	20.14006955117741
482.0278503046127	20.092548613474605
483.02872062663187	20.045408097120003
484.029590948651	19.99864362708764
485.0304612706701	19.952250889685526
486.0313315926893	19.906225631560105
487.0322019147084	19.860563658719077
488.0330722367276	19.815260835571994
489.03394255874673	19.77031308398845
490.0348128807659	19.72571638237335
491.03568320278504	19.68146676475906
492.03655352480416	19.637560319913966
493.03742384682334	19.59399319046721
494.03829416884247	19.550761572049215
495.0391644908616	19.507861712447735
496.0400348128808	19.46528991077902
497.0409051348999	19.423042516673977
498.041775456919	19.38111592947877
499.0426457789382	19.339506597469846
500.04351610095733	19.298211017082895
501.0443864229765	19.257225732155526
502.04525674499564	19.216547333183478
503.0461270670148	19.17617245658994
504.04699738903395	19.13609778400785
505.0478677110531	19.096320041574874
506.04873803307225	19.056835999240775
507.0496083550914	19.01764247008702
508.0504786771105	18.978736309658277
509.0513489991297	18.940114415305672
510.0522193211488	18.90177372554151
511.053089643168	18.863711219405243
512.0539599651871	18.825923915840512
513.0548302872063	18.788408873082986
514.0557006092254	18.751163188058875
515.0565709312446	18.714183995793746
516.0574412532637	18.67746846883171
517.0583115752829	18.641013816664465
518.059181897302	18.604817285170306
519.0600522193212	18.568876156062636
520.0609225413402	18.533187746348084
521.0617928633594	18.497749407793723
522.0626631853786	18.46255852640354
523.0635335073978	18.42761252190374
524.0644038294168	18.392908847236807
525.065274151436	18.358444988064196
526.0661444734552	18.324218462277404
527.0670147954743	18.290226819517382
528.0678851174935	18.256467640701917
529.0687554395126	18.22293853756116
530.0696257615318	18.189637152180794
531.0704960835509	18.156561156552996
532.0713664055701	18.12370825213481
533.0722367275891	18.091076169414
534.0731070496083	18.058662667482057
535.0739773716275	18.0264655336144
536.0748476936467	17.994482582857476
537.0757180156658	17.96271165762277
538.0765883376849	17.931150627287483
539.0774586597041	17.899797387801865
540.0783289817232	17.868649861302963
541.0791993037424	17.837705995734776
542.0800696257616	17.806963764474624
543.0809399477807	17.77642116596566
544.0818102697998	17.746076223355377
545.082680591819	17.715926984140033
546.083550913838	17.685971519814878
547.0844212358572	17.656207925530065
548.0852915578764	17.626634319752146
549.0861618798956	17.59724884393108
550.0870322019147	17.568049662172584
551.0879025239338	17.539034960915842
552.088772845953	17.510202948616335
553.0896431679721	17.481551855433864
554.0905134899913	17.453079932925466
555.0913838120105	17.424785453743386
556.0922541340296	17.396666711337787
557.0931244560487	17.368722019664233
558.0939947780679	17.340949712895867
559.0948651000871	17.313348145140118
560.0957354221061	17.285915690159968
561.0966057441253	17.258650741099565
562.0974760661445	17.231551710214266
563.0983463881636	17.20461702860485
564.0992167101828	17.177845145956013
565.1000870322019	17.151234530278916
566.100957354221	17.1247836676578
567.1018276762402	17.098491062000573
568.1026979982594	17.072355234793314
569.1035683202786	17.046374724858584
570.1044386422976	17.02054808811754
571.1053089643168	16.994873897355724
572.106179286336	16.969350741992503
573.107049608355	16.943977227854113
574.1079199303742	16.918751976950148
575.1087902523934	16.893673627253595
576.1096605744125	16.86874083248417
577.1105308964317	16.843952261895083
578.1114012184509	16.819306600062994
579.1122715404699	16.794802546681257
580.1131418624891	16.770438816356293
581.1140121845083	16.746214138407108
582.1148825065275	16.722127256667843
583.1157528285465	16.69817692929335
584.1166231505657	16.67436192856771
585.1174934725848	16.650681040715682
586.118363794604	16.627133065716983
587.1192341166231	16.603716817123395
588.1201044386423	16.58043112187865
589.1209747606615	16.557274820140968
590.1218450826806	16.534246765108353
591.1227154046998	16.511345822846433
592.1235857267188	16.488570872118938
593.124456048738	16.465920804220694
594.1253263707572	16.44339452281311
595.1261966927764	16.42099094376213
596.1270670147954	16.398708994978577
597.1279373368146	16.37654761626091
598.1288076588337	16.354505759140263
599.1296779808529	16.332582386727836
600.1305483028721	16.31077647356448
601.1314186248912	16.289087005472574
602.1322889469104	16.26751297941003
603.1331592689295	16.246053403326435
604.1340295909487	16.2247072960214
605.1348999129677	16.203473687004855
606.1357702349869	16.182351616359497
607.1366405570061	16.161340134605183
608.1375108790253	16.140438302565343
609.1383812010444	16.119645191235282
610.1392515230635	16.09895988165248
611.1401218450827	16.078381464768693
612.1409921671018	16.057909041323953
613.141862489121	16.03754172172237
