nm	mua[cm-1]
701.0	0.0032
702.0	0.00319
703.0	0.00322
704.0	0.0032600000000000003
705.0	0.0032300000000000002
706.0	0.00318
707.0	0.00313
708.0	0.0031
709.0	0.00311
710.0	0.00315
711.0	0.0032
712.0	0.00321
713.0	0.0032
714.0	0.00321
715.0	0.0032600000000000003
716.0	0.00334
717.0	0.0034300000000000003
718.0	0.0035099999999999997
719.0	0.00358
720.0	0.00367
721.0	0.00376
722.0	0.00383
723.0	0.0039000000000000003
724.0	0.0040100000000000005
725.0	0.00415
726.0	0.0043
727.0	0.00447
728.0	0.0046300000000000004
729.0	0.0048
730.0	0.0049900000000000005
731.0	0.0051600000000000005
732.0	0.005350000000000001
733.0	0.005520000000000001
734.0	0.005639999999999999
735.0	0.0057599999999999995
736.0	0.005889999999999999
737.0	0.006
738.0	0.00616
739.0	0.00636
740.0	0.006540000000000001
741.0	0.0068000000000000005
742.0	0.00707
743.0	0.00735
744.0	0.00768
745.0	0.00801
746.0	0.00837
747.0	0.00874
748.0	0.009080000000000001
749.0	0.00941
750.0	0.00972
751.0	0.01001
752.0	0.0103
753.0	0.01059
754.0	0.01089
755.0	0.011200000000000002
756.0	0.011550000000000001
757.0	0.011899999999999999
758.0	0.012270000000000001
759.0	0.012580000000000001
760.0	0.01278
761.0	0.012889999999999999
762.0	0.0129
763.0	0.01273
764.0	0.012490000000000001
765.0	0.01206
766.0	0.01153
767.0	0.01089
768.0	0.010209999999999999
769.0	0.00948
770.0	0.00871
771.0	0.007930000000000001
772.0	0.00719
773.0	0.00653
774.0	0.00596
775.0	0.00553
776.0	0.00515
777.0	0.00481
778.0	0.00451
779.0	0.00426
780.0	0.00409
781.0	0.00391
782.0	0.00378
783.0	0.00366
784.0	0.0036
785.0	0.00357
786.0	0.0035499999999999998
787.0	0.0035299999999999997
788.0	0.00349
789.0	0.00346
790.0	0.00346
791.0	0.00347
792.0	0.00347
793.0	0.00347
794.0	0.0035199999999999997
795.0	0.00359
796.0	0.00369
797.0	0.00379
798.0	0.00387
799.0	0.00393
800.0	0.004030000000000001
801.0	0.00413
802.0	0.00424
803.0	0.00434
804.0	0.00442
805.0	0.004540000000000001
806.0	0.0046700000000000005
807.0	0.00482
808.0	0.0049700000000000005
809.0	0.00511
810.0	0.00527
811.0	0.005470000000000001
812.0	0.00567
813.0	0.00583
814.0	0.00594
815.0	0.00603
816.0	0.00615
817.0	0.0063300000000000006
818.0	0.006540000000000001
819.0	0.00674
820.0	0.0069099999999999995
821.0	0.0070799999999999995
822.0	0.00724
823.0	0.0074
824.0	0.00758
825.0	0.007750000000000001
826.0	0.00786
827.0	0.00796
828.0	0.00799
829.0	0.008020000000000001
830.0	0.00803
831.0	0.00803
832.0	0.00801
833.0	0.007940000000000001
834.0	0.007850000000000001
835.0	0.007750000000000001
836.0	0.00764
837.0	0.00757
838.0	0.00751
839.0	0.00739
840.0	0.00726
841.0	0.00715
842.0	0.00703
843.0	0.00692
844.0	0.006850000000000001
845.0	0.0067800000000000004
846.0	0.006690000000000001
847.0	0.00661
848.0	0.00651
849.0	0.00643
850.0	0.006370000000000001
851.0	0.0063300000000000006
852.0	0.00632
853.0	0.0063100000000000005
854.0	0.0063300000000000006
855.0	0.00639
856.0	0.00647
857.0	0.006560000000000001
858.0	0.006620000000000001
859.0	0.00666
860.0	0.00674
861.0	0.0068000000000000005
862.0	0.0069
863.0	0.00705
864.0	0.00724
865.0	0.00751
866.0	0.00786
867.0	0.00822
868.0	0.0086
869.0	0.00899
870.0	0.00938
871.0	0.00979
872.0	0.01022
873.0	0.010740000000000001
874.0	0.01133
875.0	0.01198
876.0	0.01264
877.0	0.01345
878.0	0.0143
879.0	0.015269999999999999
880.0	0.01636
881.0	0.01752
882.0	0.01867
883.0	0.01992
884.0	0.02121
885.0	0.02262
886.0	0.02414
887.0	0.02581
888.0	0.027540000000000002
889.0	0.02932
890.0	0.03116
891.0	0.03305
892.0	0.034910000000000004
893.0	0.03674
894.0	0.03833
895.0	0.039830000000000004
896.0	0.041210000000000004
897.0	0.04256
898.0	0.043840000000000004
899.0	0.04506
900.0	0.04633
901.0	0.04766
902.0	0.04915
903.0	0.050780000000000006
904.0	0.05267
905.0	0.054720000000000005
906.0	0.057210000000000004
907.0	0.05994
908.0	0.06316
909.0	0.06663000000000001
910.0	0.07046000000000001
911.0	0.07438
912.0	0.07837
913.0	0.08234
914.0	0.08621000000000001
915.0	0.08994
916.0	0.09354
917.0	0.09683
918.0	0.1
919.0	0.1032
920.0	0.10650000000000001
921.0	0.1099
922.0	0.1133
923.0	0.1167
924.0	0.12
925.0	0.1231
926.0	0.126
927.0	0.1282
928.0	0.12990000000000002
929.0	0.1307
930.0	0.131
931.0	0.12990000000000002
932.0	0.1283
933.0	0.1253
934.0	0.1218
935.0	0.11750000000000001
936.0	0.1126
937.0	0.107
938.0	0.1008
939.0	0.09433
940.0	0.08753999999999999
941.0	0.08088
942.0	0.07446
943.0	0.06822
944.0	0.0625
945.0	0.05704
946.0	0.05234
947.0	0.04802
948.0	0.04445
949.0	0.04109
950.0	0.03799
951.0	0.03519
952.0	0.03274
953.0	0.030459999999999997
954.0	0.02852
955.0	0.02666
956.0	0.02504
957.0	0.02358
958.0	0.02242
959.0	0.021330000000000002
960.0	0.020470000000000002
961.0	0.01975
962.0	0.01917
963.0	0.018600000000000002
964.0	0.018080000000000002
965.0	0.01753
966.0	0.01693
967.0	0.016390000000000002
968.0	0.01589
969.0	0.01554
970.0	0.01528
971.0	0.0151
972.0	0.014910000000000001
973.0	0.01463
974.0	0.014310000000000002
975.0	0.01413
976.0	0.014079999999999999
977.0	0.01414
978.0	0.01421
979.0	0.014230000000000001
980.0	0.01417
981.0	0.014070000000000001
982.0	0.01406
983.0	0.014199999999999999
984.0	0.014410000000000001
985.0	0.014810000000000002
986.0	0.01524
987.0	0.01564
988.0	0.01607
989.0	0.01652
990.0	0.01716
991.0	0.017929999999999998
992.0	0.01891
993.0	0.01994
994.0	0.020870000000000003
995.0	0.02178
996.0	0.022719999999999997
997.0	0.02366
998.0	0.02464
999.0	0.0256
1000.0	0.02654
1002.0	0.03908
1004.0	0.04621
1006.0	0.0456
1008.0	0.0505599999999999
1010.0	0.0531699999999999
1012.0	0.05819
1014.0	0.06757
1016.0	0.0677
1018.0	0.07047
1020.0	0.07867
1022.0	0.07617
1024.0	0.07785
1026.0	0.07978
1028.0	0.08141
1030.0	0.09062
1032.0	0.0897
1034.0	0.0939
1036.0	0.09667
1038.0	0.0926699999999999
1040.0	0.1003
1042.0	0.1005
1044.0	0.09762
1046.0	0.1023
1048.0	0.09253
1050.0	0.0933
1052.0	0.09297
1054.0	0.08491
1056.0	0.08772
1058.0	0.08403
1060.0	0.08151
1062.0	0.08495
1064.0	0.07149
1066.0	0.0736
1068.0	0.072
1070.0	0.06579
1072.0	0.06973
1074.0	0.06371
1076.0	0.06308
1078.0	0.06665
1080.0	0.05968
1082.0	0.06466
1084.0	0.06262
1086.0	0.05575
1088.0	0.06364
1090.0	0.0549
1092.0	0.05563
1094.0	0.05968
1096.0	0.0482699999999999
1098.0	0.0567
1100.0	0.05558
1102.0	0.05266
1104.0	0.05988
1106.0	0.0527799999999999
1108.0	0.05656
1110.0	0.06298
1112.0	0.05434
1114.0	0.06527
1116.0	0.0645
1118.0	0.06406
1120.0	0.07372
1122.0	0.06934
1124.0	0.07229
1126.0	0.0786
1128.0	0.07867
1130.0	0.09072
1132.0	0.09499
1134.0	0.1002
1136.0	0.1173
1138.0	0.1231
1140.0	0.1429
1142.0	0.1585
1144.0	0.176
1146.0	0.2043
1148.0	0.2315
1150.0	0.273
1152.0	0.3108
1154.0	0.3419
1156.0	0.3809
1158.0	0.422
1160.0	0.4685
1162.0	0.5357
1164.0	0.6001
1166.0	0.6540999999999999
1168.0	0.6927
1170.0	0.7090000000000001
1172.0	0.7091999999999999
1174.0	0.7184
1176.0	0.7434000000000001
1178.0	0.7702
1180.0	0.8119
1182.0	0.866
1184.0	0.9362
1186.0	1.039
1188.0	1.114
1190.0	1.186
1192.0	1.253
1194.0	1.308
1196.0	1.3769999999999998
1198.0	1.4380000000000002
1200.0	1.496
1202.0	1.585
1204.0	1.662
1206.0	1.763
1208.0	1.866
1210.0	1.924
1212.0	1.971
1214.0	1.979
1216.0	1.932
1218.0	1.885
1220.0	1.726
1222.0	1.5490000000000002
1224.0	1.374
1226.0	1.167
1228.0	1.031
1230.0	0.9013
1232.0	0.7814
1234.0	0.7094
1236.0	0.6233000000000001
1238.0	0.5616
1240.0	0.5214
1242.0	0.4617
1244.0	0.4375
1246.0	0.4028
1248.0	0.3611999999999999
1250.0	0.3508
1252.0	0.3214
1254.0	0.2995
1256.0	0.2949
1258.0	0.2582
1260.0	0.2543
1262.0	0.2433
1264.0	0.2203
1266.0	0.2207
1268.0	0.2080999999999999
1270.0	0.1966999999999999
1272.0	0.1994
1274.0	0.1825999999999999
1276.0	0.1851
1278.0	0.1814
1280.0	0.164
1282.0	0.1725
1284.0	0.1631
1286.0	0.1607
1288.0	0.1685
1290.0	0.153
1292.0	0.1523
1294.0	0.1543
1296.0	0.1422
1298.0	0.1469
1300.0	0.1438
1302.0	0.1378
1304.0	0.1403
1306.0	0.1326
