nm	mua[cm-1]
1052.0	4.569
1054.0	4.441
1056.0	4.418
1058.0	4.309
1060.0	4.226
1062.0	4.188
1064.0	4.039
1066.0	3.983
1068.0	3.911
1070.0	3.806
1072.0	3.757
1074.0	3.652
1076.0	3.565
1078.0	3.53
1080.0	3.411
1082.0	3.359
1084.0	3.27
1086.0	3.189
1088.0	3.149
1090.0	3.046
1092.0	2.985
1094.0	2.935
1096.0	2.828
1098.0	2.7960000000000003
1100.0	2.726
1102.0	2.652
1104.0	2.606
1106.0	2.523
1108.0	2.476
1110.0	2.428
1112.0	2.3400000000000003
1114.0	2.315
1116.0	2.248
1118.0	2.188
1120.0	2.157
1122.0	2.0860000000000003
1124.0	2.056
1126.0	2.021
1128.0	1.971
1130.0	1.961
1132.0	1.937
1134.0	1.931
1136.0	1.944
1138.0	1.935
1140.0	1.974
1142.0	1.998
1144.0	2.019
1146.0	2.064
1148.0	2.094
1150.0	2.127
1152.0	2.149
1154.0	2.163
1156.0	2.171
1158.0	2.175
1160.0	2.167
1162.0	2.168
1164.0	2.153
1166.0	2.145
1168.0	2.132
1170.0	2.123
1172.0	2.103
1174.0	2.091
1176.0	2.083
1178.0	2.063
1180.0	2.065
1182.0	2.056
1184.0	2.037
1186.0	2.0380000000000003
1188.0	2.015
1190.0	2.008
1192.0	2.006
1194.0	1.974
1196.0	1.966
1198.0	1.942
1200.0	1.914
1202.0	1.908
1204.0	1.875
1206.0	1.847
1208.0	1.838
1210.0	1.79
1212.0	1.784
1214.0	1.766
1216.0	1.73
1218.0	1.734
1220.0	1.701
1222.0	1.681
1224.0	1.6700000000000002
1226.0	1.628
1228.0	1.628
1230.0	1.616
1232.0	1.5870000000000002
1234.0	1.593
1236.0	1.563
1238.0	1.548
1240.0	1.5470000000000002
1242.0	1.508
1244.0	1.502
1246.0	1.493
1248.0	1.463
1250.0	1.467
1252.0	1.4349999999999998
1254.0	1.4249999999999998
1256.0	1.427
1258.0	1.3850000000000002
1260.0	1.392
1262.0	1.386
1264.0	1.36
1266.0	1.379
1268.0	1.364
1270.0	1.356
1272.0	1.369
1274.0	1.346
1276.0	1.361
1278.0	1.366
1280.0	1.352
1282.0	1.375
1284.0	1.373
1286.0	1.373
1288.0	1.399
1290.0	1.393
1292.0	1.407
1294.0	1.432
1296.0	1.431
1298.0	1.4680000000000002
1300.0	1.484
1302.0	1.501
1304.0	1.5459999999999998
1306.0	1.5590000000000002
1308.0	1.591
1310.0	1.645
1312.0	1.6669999999999998
1314.0	1.73
1316.0	1.777
1318.0	1.819
1320.0	1.887
1322.0	1.941
1324.0	2.014
1326.0	2.098
1328.0	2.147
1330.0	2.233
1332.0	2.3200000000000003
1334.0	2.388
1336.0	2.491
1338.0	2.577
1340.0	2.667
1342.0	2.776
1344.0	2.851
1346.0	2.941
1348.0	3.034
1350.0	3.114
1352.0	3.206
1354.0	3.272
1356.0	3.347
1358.0	3.458
1360.0	3.523
1362.0	3.624
1364.0	3.718
1366.0	3.84
1368.0	3.973
1370.0	4.118
1372.0	4.313000000000001
1374.0	4.506
1376.0	4.758
1378.0	5.09
1380.0	5.470000000000001
1382.0	5.934
1384.0	6.473
1386.0	7.151999999999999
1388.0	7.972
1390.0	8.854
1392.0	9.978
1394.0	11.21
1396.0	12.4
1398.0	14.42
1400.0	15.77
1402.0	17.0
1404.0	17.89
1406.0	19.39
1408.0	20.515
1410.0	21.68
1412.0	24.315
1414.0	23.95
1416.0	24.625
1418.0	25.3
1420.0	25.975
1422.0	26.363750000000003
1424.0	26.7525
1426.0	27.14125
1428.0	27.53
1430.0	27.637272727272727
1432.0	27.744545454545456
1434.0	27.85181818181818
1436.0	27.95909090909091
1438.0	28.06636363636364
1440.0	28.17363636363637
1442.0	28.28090909090909
1444.0	28.38818181818182
1446.0	28.495454545454542
1448.0	28.60272727272727
1450.0	28.71
1452.0	28.613333333333333
1454.0	28.51666666666667
1456.0	28.42
1458.0	28.31833333333333
1460.0	28.21666666666667
1462.0	28.115
1464.0	28.01333333333333
1466.0	27.911666666666665
1468.0	27.81
1470.0	28.325000000000003
1472.0	27.32
1474.0	26.86
1476.0	26.605
1478.0	26.35
1480.0	25.48
1482.0	25.73
1484.0	25.19
1486.0	25.18
1488.0	24.620000000000005
1490.0	24.495
1492.0	24.785
1494.0	24.0575
1496.0	23.33
1498.0	21.73
1500.0	22.035
1502.0	23.14
1504.0	21.425
1506.0	21.78
1508.0	20.68
1510.0	20.52
1512.0	20.77
1514.0	19.84
1516.0	19.33
1518.0	18.85
1520.0	19.015
1522.0	18.04
1524.0	17.17
1526.0	17.490000000000002
1528.0	16.645
1530.0	16.34
1532.0	16.279999999999998
1534.0	15.94
1536.0	15.315
1538.0	14.970000000000002
1540.0	14.58
1542.0	14.44
1544.0	14.1
1546.0	13.5
1548.0	13.63
1550.0	13.225
1552.0	12.785
1554.0	12.39
1556.0	12.47
1558.0	11.83
1560.0	11.84
1562.0	11.37
1564.0	11.080000000000002
1566.0	11.2
1568.0	10.67
1570.0	10.67
1572.0	10.55
1574.0	10.2
1576.0	10.009999999999998
1578.0	9.865
1580.0	9.852
1582.0	9.483
1584.0	9.294
1586.0	9.225
1588.0	9.026
1590.0	8.749
1592.0	8.754
1594.0	8.606
1596.0	8.543
1598.0	8.347999999999999
