nm	musp[cm-1]
450.0	20.049848076516735
451.0008703220191	19.954695007511166
452.0017406440383	19.860319244083325
453.00261096605743	19.76671201973948
454.0034812880766	19.673864691238066
455.00435161009574	19.581768736542422
456.00522193211486	19.49041575281234
457.00609225413405	19.39979745443383
458.00696257615317	19.30990567108614
459.0078328981723	19.220732345845224
460.0087032201915	19.132269533322997
461.0095735422106	19.044509397841523
462.0104438642298	18.95744421164145
463.0113141862489	18.871066353123958
464.01218450826804	18.785368305125495
465.0130548302872	18.70034265322466
466.01392515230634	18.615982084080528
467.0147954743255	18.532279383801765
468.01566579634465	18.4492274363459
469.0165361183638	18.366819221948145
470.01740644038296	18.28504781557906
471.0182767624021	18.20390638543067
472.0191470844212	18.123388191430198
473.0200174064404	18.043486583780982
474.0208877284595	17.964195001530086
475.0217580504787	17.885506971161853
476.0226283724978	17.807416105217122
477.02349869451695	17.729916100937302
478.0243690165361	17.653000738933088
479.02523933855525	17.57666388187711
480.02610966057443	17.50089947322011
481.02697998259356	17.425701535930177
482.0278503046127	17.351064171254553
483.02872062663187	17.276981557503547
484.029590948651	17.203447948856162
485.0304612706701	17.13045767418696
486.0313315926893	17.058005135913707
487.0322019147084	16.986084808865524
488.0330722367276	16.914691239170896
489.03394255874673	16.843819043165443
490.0348128807659	16.77346290631876
491.03568320278504	16.703617582180204
492.03655352480416	16.63427789134308
493.03742384682334	16.565438720426958
494.03829416884247	16.497095021077726
495.0391644908616	16.429241808985026
496.0400348128808	16.361874162916774
497.0409051348999	16.294987223770395
498.041775456919	16.22857619364043
499.0426457789382	16.162636334902277
500.04351610095733	16.09716296931164
501.0443864229765	16.032151477119474
502.04525674499564	15.967597296202122
503.0461270670148	15.903495921206245
504.04699738903395	15.839842902708403
505.0478677110531	15.776633846388934
506.04873803307225	15.713864412219841
507.0496083550914	15.651530313666484
508.0504786771105	15.589627316902707
509.0513489991297	15.528151240039271
510.0522193211488	15.467097952365298
511.053089643168	15.406463373602342
512.0539599651871	15.346243473171121
513.0548302872063	15.28643426947042
514.0557006092254	15.227031829168066
515.0565709312446	15.168032266503687
516.0574412532637	15.109431742603137
517.0583115752829	15.05122646480419
518.059181897302	14.99341268599351
519.0600522193212	14.935986703954438
520.0609225413402	14.878944860725692
521.0617928633594	14.822283541970478
522.0626631853786	14.765999176356033
523.0635335073978	14.710088234943322
524.0644038294168	14.654547230586678
525.065274151436	14.599372717343277
526.0661444734552	14.544561289892192
527.0670147954743	14.490109582962939
528.0678851174935	14.436014270773173
529.0687554395126	14.38227206647566
530.0696257615318	14.32887972161396
531.0704960835509	14.275834025587097
532.0713664055701	14.22313180512263
533.0722367275891	14.170769923758359
534.0731070496083	14.1187452813322
535.0739773716275	14.067054813480254
536.0748476936467	14.01569549114293
537.0757180156658	13.96466432007882
538.0765883376849	13.913958340386383
539.0774586597041	13.86357462603317
540.0783289817232	13.813510284392512
541.0791993037424	13.763762455787466
542.0800696257616	13.714328313042047
543.0809399477807	13.665205061039416
544.0818102697998	13.616389936287021
545.082680591819	13.567880206488587
546.083550913838	13.519673170122754
547.0844212358572	13.471766156028286
548.0852915578764	13.424156522995736
549.0861618798956	13.376841659365486
550.0870322019147	13.329818982631938
551.0879025239338	13.283085939053915
552.088772845953	13.236640003271011
553.0896431679721	13.19047867792589
554.0905134899913	13.14459949329233
555.0913838120105	13.099000006909083
