Object Number,Area,Aspect_Ratio,Diameter,Width,Length
2064,75.11111111,0.910227304,7.266049176,6.666666667,7.666666667
2100,81,0.891879819,7.266049176,6.666666667,7.666666667
2114,70.55555556,0.975267195,6.988009142,6.666666667,7
2120,70.22222222,0.979537468,6.885988934,6.666666667,7
2124,68,0.963067995,6.634743099,6.333333333,6.666666667
2159,49.11111111,0.837281599,5.542092676,5,6
2176,53.44444444,0.868426906,5.864716912,5,6.333333333
2178,66.66666667,0.943162231,6.624067721,6.666666667,6.666666667
2183,68,0.978933112,6.74056705,6.666666667,7
2184,69.22222222,0.87316832,6.834407766,6.666666667,7
2186,75.11111111,0.929468089,7.098538071,6.666666667,7.333333333
2204,67.88888889,0.952811888,6.645401328,6.333333333,7
2234,66.22222222,0.895927642,6.645401328,6.333333333,7
2255,64.55555556,0.916019889,6.428880344,6,7
2283,67.33333333,0.961763943,6.792860829,6.666666667,6.666666667
2289,66.77777778,0.911208059,6.570430663,6,7
2317,62.33333333,0.851589298,6.548852835,6,7
2327,73.33333333,0.968176432,7.158107267,7,7.333333333
2344,63.44444444,0.878557618,6.538037216,5.666666667,7
2351,52.33333333,0.856011713,5.816247346,5.666666667,5.666666667
2370,67.11111111,0.892996038,6.687864388,6.333333333,7
2374,70.77777778,0.959810358,6.865402972,6.666666667,7
2389,71.11111111,0.963926266,6.977874243,7,7
2395,58.77777778,0.95950269,6.329029714,6,6.333333333
2441,80.66666667,0.898694444,7.654980478,7,8.333333333
2448,69.88888889,0.967698299,6.80327135,6.666666667,6.666666667
2468,70.77777778,0.867808724,6.947380837,6.333333333,7.333333333
2469,60.11111111,0.908000979,6.351354404,6,6.666666667
2470,63.77777778,0.923755889,6.329029714,6.333333333,6.333333333
2471,57.55555556,0.934744588,6.250265387,6,6
2504,72.77777778,0.949039672,7.118449858,7,7
2521,60.44444444,0.866881434,6.439879292,5.666666667,6.666666667
2522,72.88888889,0.968836131,6.977874243,6.666666667,7
2524,73.22222222,0.9671569,7.187706734,7,7
2566,72.88888889,0.928156443,7.018326026,6.666666667,7.333333333
2582,62.44444444,0.893302671,6.570430663,6,6.666666667
2597,61.44444444,0.915958933,6.351354404,6,6.333333333
2616,73,0.936856616,7.108500936,7,7.333333333
2630,73.11111111,0.881675958,7.118449858,6.333333333,7.666666667
2633,66.11111111,0.931306795,6.570430663,6.333333333,6.333333333
2636,66.11111111,0.995724934,6.708995134,6.666666667,6.666666667
2648,71.11111111,0.933800417,6.875703657,6.666666667,6.666666667
2652,77.88888889,0.926430801,7.382004093,7.333333333,7.333333333
2655,71.77777778,0.940339224,7.068565222,6.666666667,7.333333333
2689,75.66666667,0.894100089,7.138306102,6.666666667,7.666666667
2737,69.77777778,0.953909499,6.906513536,6.666666667,7
2738,72.33333333,0.965357397,7.167987337,7,7
2759,66.33333333,0.927711837,6.505482472,6.333333333,6.666666667
2774,68.55555556,0.974096572,6.698438094,6.666666667,6.666666667
2792,69.44444444,0.98275152,6.875703657,6.666666667,7.333333333
2817,67,0.892355851,6.698438094,6.666666667,6.666666667
2832,72.44444444,0.903409268,6.988009142,6.333333333,7.666666667
2833,62.11111111,0.92581757,6.527203676,6,6.333333333
2838,67.11111111,0.901194685,6.570430663,6.333333333,6.666666667
2844,67,0.89684195,6.687864388,6,7
2847,63.77777778,0.948816345,6.439879292,6.333333333,6.666666667
2859,67.44444444,0.954017091,6.730059535,6.666666667,6.666666667
2870,68.33333333,0.973558112,6.708995134,6.333333333,6.666666667
2879,78.44444444,0.908936686,7.458305904,7,8
2886,79.44444444,0.943447924,7.543222939,7.333333333,7.666666667
2892,70.77777778,0.94626878,6.926977325,6.666666667,7.333333333
2893,58.44444444,0.875135876,6.306625999,6,6.333333333
2895,68.88888889,0.952901719,6.875703657,6.666666667,7
2955,53,0.862429876,5.888802093,5,6.333333333
2966,81.88888889,0.959910788,7.420253075,7.333333333,7.333333333
3012,66.11111111,0.995853784,6.613375111,6.333333333,6.666666667
3032,75.11111111,0.923532888,7.275782669,7,7.333333333
3062,56.88888889,0.962832739,6.08968127,5.666666667,6
3095,61.88888889,0.906361732,6.472763996,5.666666667,7
3107,70.66666667,0.970730562,7.038464736,6.666666667,7
3108,70.44444444,0.89980152,6.80327135,6.333333333,7.333333333
3116,56.66666667,0.862330404,5.995988279,5.666666667,6
3142,70.44444444,0.952962348,6.834407766,6.666666667,7
3154,64.55555556,0.898086291,6.666666667,6.333333333,7
3163,42.11111111,0.874393724,5.061546189,4.333333333,5.666666667
3196,48.44444444,0.891824592,5.490775898,5,5.666666667
3212,69.11111111,0.978429861,6.865402972,6.666666667,7
3242,60.33333333,0.919461708,6.362487373,6,6.666666667
3251,67.77777778,0.950866017,6.730059535,6.666666667,7
3263,67.33333333,0.919771733,6.613375111,6.333333333,7
3269,81.88888889,0.948164243,7.382004093,7,7.666666667
3290,70.66666667,0.915541121,6.875703657,6.333333333,7.333333333
3293,63.22222222,0.904740145,6.472763996,6,7
3330,67.77777778,0.930034185,6.645401328,6.333333333,7
3335,67.11111111,0.876778876,6.559650622,6,7
3342,71.66666667,0.964120593,6.967724602,6.666666667,7
3350,70.55555556,0.975167331,6.977874243,6.666666667,7
3379,53.77777778,0.89214709,5.984173512,5.666666667,6
3426,63.77777778,0.870123711,6.634743099,5.666666667,7.333333333
3458,68.11111111,0.935190065,6.792860829,6.666666667,7
3521,63.22222222,0.926039394,6.527203676,6,7
3535,58.33333333,0.940909781,6.216203742,6,6
3539,46.88888889,0.843002569,5.972335373,5.333333333,6
3543,71.11111111,0.928310333,6.885988934,6.666666667,7
3606,73.77777778,0.929678265,7.128384894,7,7.333333333
3619,53,0.887028048,5.912789166,5.333333333,6.333333333
3755,63,0.904312856,6.65604249,6,7
3783,56.22222222,0.855255247,6.101291731,5,6.666666667
3784,66.44444444,0.88699754,6.613375111,6.333333333,7
3806,47.88888889,0.84207783,5.972335373,5.333333333,6.333333333
3816,58.77777778,0.878285664,6.261578094,5.666666667,6.666666667
3891,64.22222222,0.87209771,6.494594628,5.666666667,7.333333333
3902,73.11111111,0.904958304,7.038464736,6.666666667,7.333333333
3910,73.33333333,0.963011793,7.118449858,6.666666667,7.333333333
3926,56.77777778,0.865859606,6.078048631,5.666666667,6.333333333
3939,61.44444444,0.899142636,6.516352125,6,6.333333333
3953,70,0.94882252,6.865402972,6.666666667,7
3976,49,0.872509423,5.80406671,5,6.666666667
4033,50.55555556,0.869350682,5.705685572,5,6
4034,70.44444444,0.907251901,6.855086808,6.333333333,7.333333333
4046,56.22222222,0.849455434,6.054716304,5.666666667,6
4050,63.44444444,0.853891116,6.581193046,6.333333333,6.666666667
4056,72,0.960365972,7.028402594,6.666666667,7
4069,52.33333333,0.864611049,6.159015739,5.666666667,6.666666667
4072,50.33333333,0.853540269,5.618189043,4.666666667,6.333333333
4080,54.88888889,0.881313959,5.912789166,5.333333333,6
4133,64.55555556,0.924991735,6.461821023,6.333333333,6.333333333
4138,53,0.861084227,6.181954425,6,6
4188,73.88888889,0.932073927,7.138306102,7,7.333333333
4272,49.66666667,0.880676915,5.567573696,4.666666667,5.666666667
4296,71.22222222,0.967515642,6.937186582,6.666666667,7
4308,51.77777778,0.849631042,5.80406671,5.333333333,6
4330,66.33333333,0.900757439,6.666666667,6.333333333,6.666666667
4344,43.22222222,0.89739817,5.693268396,5,6.333333333
4345,50.55555556,0.845627648,5.668352441,5,6.333333333
4369,68.66666667,0.943029658,6.855086808,6.666666667,7
4378,50.11111111,0.942859343,5.630771789,5.333333333,5.666666667
4406,59.88888889,0.93675199,6.216203742,6,6.333333333
4426,60.44444444,0.859927907,6.417862546,5.666666667,6.666666667
4511,66.77777778,0.90100965,6.602665185,6.333333333,7
4532,69.55555556,0.939478335,6.875703657,6.666666667,7
4586,70.44444444,0.97076447,6.926977325,7,7
4606,57.44444444,0.885059171,6.135991301,5.333333333,6.333333333
4628,70.33333333,0.937737375,6.937186582,6.666666667,7
4653,60.55555556,0.849395738,6.384695076,5.333333333,7
4717,70.33333333,0.929855504,6.719535589,6.666666667,7
4760,73,0.91102851,6.988009142,6.666666667,7
4771,75.66666667,0.940500668,7.246542969,7,7.666666667
4807,67.22222222,0.978767177,6.730059535,6.666666667,6.666666667
4815,73,0.872078708,7.048512514,6.666666667,7.666666667
4818,65,0.911407439,6.581193046,6.333333333,6.666666667
4820,55.11111111,0.932400977,5.972335373,5.666666667,5.666666667
4843,74.22222222,0.901413157,7.108500936,6.666666667,7.333333333
4871,56.66666667,0.871968882,6.124446622,5.666666667,6.666666667
4890,58.22222222,0.855597505,6.261578094,5.666666667,6.333333333
4906,68.66666667,0.906690594,6.719535589,6.333333333,7.333333333
4957,73.11111111,0.870244698,7.028402594,6.333333333,7.666666667
4982,70,0.92373532,6.947380837,6.666666667,7.333333333
4987,73,0.954608603,6.998129363,7,7
4996,72.22222222,0.941966634,7.098538071,6.666666667,7.333333333
5014,61.77777778,0.861383213,6.65604249,6.333333333,7.333333333
5027,62.22222222,0.983357045,6.591937858,6.333333333,6.666666667
5062,69.77777778,0.938525705,6.782434329,6.333333333,7
5126,71.77777778,0.931624211,7.048512514,7,7
5139,70.11111111,0.855216799,6.74056705,6.666666667,6.666666667
5152,67.88888889,0.949490546,6.824044746,6.666666667,7
5156,72.77777778,0.94340581,7.098538071,7,7
5182,51.11111111,0.840563572,5.742776009,5,6.666666667
5227,55.66666667,0.841648704,6.581193046,6.333333333,6.333333333
5290,59.33333333,0.873432975,6.351354404,5.666666667,6.666666667
5298,70,0.931839899,6.80327135,6.333333333,7.333333333
5301,62.77777778,0.9227141,6.516352125,6,6.666666667
5310,69.66666667,0.890445626,7.028402594,6.333333333,7.666666667
5321,67.22222222,0.912133569,6.751058212,6.666666667,6.666666667
5354,61.44444444,0.945422441,6.548852835,6.333333333,6.333333333
5363,81.22222222,0.92167549,7.636467801,7,8.333333333
5368,56.33333333,0.900045252,6.11288014,5.666666667,6.333333333
5403,54.55555556,0.972811277,6.007779811,5.666666667,6
5429,68,0.921450472,6.761533095,6.333333333,7
5447,68.33333333,0.890830938,6.74056705,6.666666667,6.666666667
5470,57.55555556,0.874243239,6.216203742,5.666666667,6.666666667
5478,58.22222222,0.942557303,6.317837788,6,6.333333333
5484,69.77777778,0.882973508,6.926977325,6.666666667,7.333333333
5500,59.55555556,0.949029648,6.417862546,6,6.666666667
5503,57.88888889,0.871543562,6.11288014,5.666666667,6.333333333
5510,71.33333333,0.933675482,6.937186582,6.666666667,7.333333333
5521,50,0.86114619,5.618189043,5,6
5531,73.66666667,0.900808679,7.088561203,6.666666667,7.333333333
5534,73.88888889,0.902128231,7.108500936,6.666666667,7.333333333
5645,68.66666667,0.98644513,6.834407766,6.666666667,6.666666667
5662,66.55555556,0.859966292,6.771991776,6,7.333333333
5668,67.22222222,0.979375373,6.708995134,6.666666667,6.666666667
5675,63,0.895831552,6.384695076,6,6.666666667
5685,74.11111111,0.891899644,7.256302627,6.666666667,8
5709,66,0.928452537,6.591937858,6.333333333,6.666666667
5719,69.33333333,0.957236621,6.80327135,6.666666667,7
5752,75.44444444,0.916717072,7.304905331,7,7.333333333
5769,73.44444444,0.920123706,7.078570273,7,7.333333333
5773,73.77777778,0.951077387,7.217184808,7,7.333333333
5787,76.66666667,0.897943985,7.343555894,7,7.666666667
5794,71,0.943027566,6.896258871,6.666666667,7
5800,77,0.939147124,7.314587118,7,7.666666667
5804,69,0.963988875,6.782434329,6.666666667,6.666666667
5824,68.22222222,0.981129091,6.751058212,6.666666667,6.666666667
5825,75.55555556,0.939607425,7.197546173,6.666666667,7.333333333
5830,71.88888889,0.879470635,7.038464736,6.333333333,7.666666667
5844,68.22222222,0.958527776,6.855086808,6.666666667,7
5878,67.22222222,0.948297017,6.591937858,6.333333333,6.666666667
5889,72.22222222,0.913979148,6.916752999,6.666666667,7
5919,47.44444444,0.886509342,5.438974967,5,5.666666667
5958,69.44444444,0.990230013,6.896258871,6.666666667,7.333333333
5976,68.88888889,0.908430087,6.813665965,6.666666667,6.666666667
5994,48.44444444,0.889425912,5.490775898,5,5.666666667
6008,74.66666667,0.943446184,7.167987337,7,7.666666667
6011,73.44444444,0.930766575,7.128384894,7,7.333333333
6041,68.77777778,0.923378657,6.730059535,6.333333333,7
6068,77.55555556,0.957022136,7.207372179,7,7.333333333
6092,67.88888889,0.904363121,6.708995134,6,7.333333333
6107,67.77777778,0.942679615,6.771991776,6.666666667,6.666666667
6123,72.77777778,0.951475335,7.038464736,7,7
6140,64.77777778,0.978102877,6.570430663,6.333333333,6.666666667
6141,71.88888889,0.895645013,7.158107267,7,7.333333333
6152,69.44444444,0.976922839,6.824044746,6.666666667,6.666666667
6161,72,0.938608604,6.988009142,6.666666667,7.333333333
6186,67.44444444,0.944804701,6.751058212,6.333333333,7
6197,58.11111111,0.908338411,6.272870399,5.666666667,6.333333333
6214,66.77777778,0.938882797,6.634743099,6.333333333,7
6217,67.11111111,0.939708689,6.687864388,6,7
6223,67.22222222,0.955952201,6.761533095,6.666666667,6.666666667
6231,72,0.873181407,7.00823497,6.666666667,7.333333333
6242,71.66666667,0.959112161,7.018326026,7,7
6246,72,0.891608373,7.068565222,6.666666667,7.333333333
6270,78.22222222,0.965859161,7.187706734,6.666666667,7
6271,72.66666667,0.958905833,7.108500936,7,7.333333333
6288,68.55555556,0.982475065,6.677273939,6.333333333,6.666666667
6307,71,0.903523773,6.906513536,6.666666667,7
6311,74.88888889,0.911667166,7.275782669,6.666666667,7.666666667
6323,72.22222222,0.907782086,6.988009142,6.666666667,7.333333333
6329,56.11111111,0.838960432,6.078048631,5.666666667,6.333333333
6334,70.11111111,0.941888135,6.771991776,6.333333333,7
