nm,H2O mua,H2O std,DMSO mua,DMSO std,D2O mua,D2O std,melanin mua,melanin std,corn oil mua,corn oil std,HbO2 mua,HbO2 std,Hb mua,Hb std,melanin DMSO mua,melanin DMSO std
250,,,11.214965825016975,0.21198672805641264,,,,,,,16.52330923198419,0.18758020549041296,19.320830101779563,1.0938533703528885,,
252,,,9.140240138654638,0.24141721103855793,,,,,,,16.466087230651926,0.04760038594671224,18.962794272235048,1.134865107323201,,
254,,,7.151700926473824,0.25483805690707007,,,,,,,16.697111899002802,0.048015481669539,18.786976133751335,0.9230336168860868,,
256,,,5.550904838059501,0.26023105884849773,,,,,,,17.01981617675237,0.21000383477991022,18.732016032531526,1.026201505772303,,
258,,,4.201582904580892,0.2697649503218226,,,,,,,17.393168440923585,2.014429563719286e-15,18.75600428389649,1.0439357600730765,,
260,,,3.1750959257475833,0.2706845926420845,,,30.616448826798287,1.2406047914301748,,,17.96358468769121,0.04056325076273775,18.834064665956806,1.064066042275796,2579.4871726987662,119.36039891763467
262,,,2.414104731639612,0.2630194114118232,,,28.765936204995068,0.2754176365055,,,18.55564238023118,0.2820980318413999,19.028415431213247,0.8744855211758029,2477.072158495413,35.798340429602824
264,,,1.8547411766339057,0.27340476045002055,,,29.250915980305763,0.15724497232720444,,,19.04145700038944,1.4313052163268617e-15,19.190832436020546,1.0326108264988263,2575.2404315451545,29.64744865170333
266,,,1.4338196625883943,0.2912955833811155,,,29.63636533736607,0.06928203230275484,,,19.737800930848405,0.04384938753338914,19.328936823760344,1.080377060885976,2651.0392934291012,28.145602514512543
268,,,1.1268398558107764,0.2978245066769722,,,28.90257426448179,0.06536040783278758,,,20.046888160437657,0.046065181052363596,19.48417936638568,0.8730000552581813,2610.919034415075,28.661742172728815
270,,,0.9044119171225662,0.29705998404388345,,,29.079787737875552,1.6996749443881474e-15,,,20.708710097457864,0.43301270189221885,19.526421551659592,0.8824207834393507,2648.485327150781,27.923638500125044
272,,,,,,,27.479659330905275,3.4641016151377553,,,20.843900188017084,0.3685214484189104,19.73895684720204,1.1414275077761338,2583.087977105096,325.625551822949
274,,,,,,,26.06908957413781,0.1037156172196929,,,20.985029125208,0.45580284409707345,19.66611818050936,0.9262453107422639,2450.494419968954,9.749268018651133
276,,,,,,,26.174280907946244,0.15231083961160125,,,20.909009419734726,0.054811734416736424,19.632430973912832,0.8704586854736099,2460.382405346947,14.317218923490517
278,,,,,,,26.489020078640596,0.05362386401142112,,,20.68484870392324,0.07448973049959663,19.47604954490357,1.1274414670132429,2489.967887392216,5.040643217073585
280,,,,,,,26.6238620341702,0.09213036210472719,,,20.373499177442703,2.7470895519765205e-15,19.16443245539286,1.0898055854929043,2502.643031211999,8.660254037844355
282,,,,,,,25.991948973899742,2.5811132132996668e-15,,,19.720001242412412,0.06557184444381325,18.57300664113922,0.9331111406450161,2443.243203546576,2.4262464205016867e-13
284,,,,,,,26.077695179388314,0.13073589170582173,,,18.81405290530166,0.39323429686412514,17.969322832308166,0.858432159051786,2451.3033468625017,12.289173820347242
286,,,,,,,24.871420815548152,0.3808467377578808,,,17.88802238908109,2.014429563719286e-15,17.215869655908044,0.8430773972939799,2337.9135566615264,35.799593349240794
288,,,,,,,24.48397850002245,0.3534797566467091,,,16.67924227233694,0.19750829452377747,16.255255623496957,0.8665919199360879,2301.4939790021103,33.22709712479065
290,,,,,,,24.64986330420834,2.2573073586662414e-15,,,15.570401849889413,0.22310804665968373,15.213187265044034,0.761927773143543,2317.087150595584,2.1218689171462668e-13
292,,,,,,,24.2588132527209,0.08765286796920017,6.931471805599453,4.1633363423443354e-15,14.334416158813454,0.0,14.178523973050183,0.7929815775195929,2280.3284457557643,8.239369589104816
294,,,,,,,23.429026297999332,0.04330127018922178,6.931471805599453,4.1633363423443354e-15,13.144737838270965,0.024957504431827666,13.150430001540778,0.8453637614016253,2202.3284720119373,4.0703193977868475
296,,,,,,,23.257219148080043,0.75640380650281,4.054651081081641,2.943923360032077e-15,12.17047135441439,0.07970862550196371,12.35378901919268,0.7976519033420977,2186.178599919524,71.10195781126414
298,,,,,,,23.259417826204594,0.04104385799926235,6.931471805599453,4.1633363423443354e-15,11.320308415162229,0.020281625381368875,11.71281695525632,0.741533014187247,2186.385275663232,3.858122651930661
300,,,,,,,23.398874999805873,0.11305951774125565,10.378384364034579,2.943923360032077e-15,10.693691361562713,0.026949479027219843,11.246717421181131,0.7348994414685596,2199.494249981752,10.627594667678032
302,,,,,,,22.420095284931914,0.09622284496418877,9.36318788803552,3.0904757459735846e-15,10.277707320676766,0.05475440513315836,10.913793945868838,0.7280574823872571,2107.4889567836,9.044947426633744
304,,,,,,,22.57216617757001,0.03831970813205467,12.890257645746763,0.5412658773652747,10.039844459840765,0.051696871642939346,10.75334593527191,0.6915582400018281,2121.783620691581,3.6020525644131385
306,,,,,,,22.318923161171853,0.03757160103186272,16.318384586197855,1.770821294751329,9.960901566072405,0.06772694076831551,10.72756687159224,0.7129789360776431,2097.978777150154,3.5317304969950953
308,,,,,,,21.68803967483832,1.0428221800571564,17.77572931088456,2.943923360032077e-15,10.091160575715785,0.05186775993448563,10.811924653905415,0.6738408454124792,2038.675729434802,98.0252849253727
310,,,,,,,21.610594776692253,0.22554751609053558,18.69937872366357,0.25392515003376687,10.330679248702936,0.05724663426091509,11.004429152383077,0.6186693937172169,2031.3959090090718,21.201466512510343
312,,,0.10676257991341755,0.03504373583855921,,,21.408338960044215,0.09425039364134502,20.931138668499113,0.1455504880309982,10.715476643086356,0.026098981912365343,11.282044219401817,0.641777512337404,2002.348179732295,9.452119565867605
314,,,0.10303875138271944,0.024696222818198076,,,21.05119333840778,2.381018040806558e-15,20.58237200474293,0.0,11.096795231632193,0.018908851611014216,11.577777569464688,0.559571420572108,1969.1265311803559,2.321444944910619
316,,,0.08157519966197826,0.022184582581582044,,,20.91781549193906,0.03369748652857665,21.112905064163364,0.8660254037844385,11.584769886380982,0.02939156879255464,11.949695676510801,0.611073896785046,1958.6065874740457,3.792380230188829
318,,,0.06726879676834906,0.017388582615348435,,,20.746451858287898,0.19269036888607452,20.693702821476702,0.10626078574042155,12.128805225040166,0.07482617074178227,12.363873747556505,0.6006569408716168,1943.8432077828377,18.18649584902055
320,,,,,,,20.304150906366953,0.408401698313259,20.367629024242582,2.943923360032077e-15,12.688426816756355,0.08815067074997578,12.785160454571482,0.5561549244971968,1908.5901851984936,38.38975964144635
322,,,,,,,20.27596387203462,0.06585744515471109,20.341090466399304,0.8598669977690233,13.249040644908726,0.033832604112919794,13.270459642896023,0.5483479743167057,1905.9406039712542,6.1905998445428425
