#--- Experiment --------------------------------------------------------------------------																																											
#oxy_bigblood																																											
#																																											
#--- System ------------------------------------------------------------------------------																																											
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																																											
#PHY-0625-PCL																																											
#--- Instrument --------------------------------------------------------------------------																																											
#Device: FireSting-O2 [A] FSO2-C4 SN:21490196 UiD:243B1F075D64A73F Firmware:4.11 Build:001																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.1] - Oxygen Sensor - SC7-523-197 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	Fixed Temperature ('C)	28.800000	2	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	10/07/2025	31/12/2000	19.737	52.300	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1020.290	27.200	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A Int. T1] - Fixed Temperature																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A Ch.2] - Oxygen Sensor - SC7-524-194 																																											
#--- Settings & Calibration --------------------------------------------------------------																																											
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																							
#	1 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000																							
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																							
#	09/01/2025	31/12/2000	20.036	52.400	0.804000	0.122000	4000	-0.056000	0.969000	0.584000	0.000000	-0.000303	0.000000	0.000000	fixed f	1006.422	22.803	100.000	20.000	20.950000																							
#--- Temperature Compensation Channel ----------------------------------------------------																																											
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Pressure Compensation Channel -------------------------------------------------------																																											
#Compensation Channel [A P1] - Internal Pressure Sensor																																											
#Settings: n/a																																											
#Calibration: n/a																																											
#--- Channel -----------------------------------------------------------------------------																																											
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																											
#--- Measurement Data --------------------------------------------------------------------																																											
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	Oxygen (hPa) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Fixed Temp (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]	Date [A Ch.1 CompP]	Time [A Ch.1 CompP]	 dt (s) [A Ch.1 CompP]	Pressure (mbar) [A Ch.1 CompP]	Status [A Ch.1 CompP]	Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (hPa) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-07-2025	15:01:34.252	6.539	185.472	20.736	164	0	OK	11-07-2025	15:01:34.252	6.539	28.800	OK	11-07-2025	15:01:34.252	6.539	1017	OK	11-07-2025	15:01:41.137	13.424	NaN	175.973	1	5	OK	11-07-2025	15:01:41.137	13.424	NaN	OK	11-07-2025	15:01:41.137	13.424	1017	OK	11-07-2025	15:01:40.724	13.012	NaN	OK			
11-07-2025	15:01:34.752	7.039	186.547	20.672	164	0	OK	11-07-2025	15:01:34.752	7.039	28.800	OK	11-07-2025	15:01:34.752	7.039	1017	OK	11-07-2025	15:01:42.137	14.424	NaN	175.983	1	5	OK	11-07-2025	15:01:42.137	14.424	NaN	OK	11-07-2025	15:01:42.137	14.424	1017	OK	11-07-2025	15:01:41.729	14.016	NaN	OK			
11-07-2025	15:01:35.254	7.541	186.733	20.661	164	0	OK	11-07-2025	15:01:35.254	7.541	28.800	OK	11-07-2025	15:01:35.254	7.541	1017	OK	11-07-2025	15:01:43.140	15.428	NaN	-178.584	1	5	OK	11-07-2025	15:01:43.140	15.428	NaN	OK	11-07-2025	15:01:43.140	15.428	1017	OK	11-07-2025	15:01:42.728	15.016	NaN	OK			
11-07-2025	15:01:35.752	8.039	186.244	20.690	164	0	OK	11-07-2025	15:01:35.752	8.039	28.800	OK	11-07-2025	15:01:35.752	8.039	1017	OK	11-07-2025	15:01:44.140	16.427	NaN	178.196	1	5	OK	11-07-2025	15:01:44.140	16.427	NaN	OK	11-07-2025	15:01:44.140	16.427	1017	OK	11-07-2025	15:01:43.728	16.015	NaN	OK			
11-07-2025	15:01:36.252	8.539	186.952	20.648	164	0	OK	11-07-2025	15:01:36.252	8.539	28.800	OK	11-07-2025	15:01:36.252	8.539	1017	OK	11-07-2025	15:01:45.142	17.429	NaN	-178.336	2	5	OK	11-07-2025	15:01:45.142	17.429	NaN	OK	11-07-2025	15:01:45.142	17.429	1017	OK	11-07-2025	15:01:44.729	17.016	NaN	OK			
11-07-2025	15:01:36.751	9.039	185.774	20.718	164	-1	OK	11-07-2025	15:01:36.751	9.039	28.800	OK	11-07-2025	15:01:36.751	9.039	1017	OK	11-07-2025	15:01:46.143	18.431	NaN	177.467	1	5	OK	11-07-2025	15:01:46.143	18.431	NaN	OK	11-07-2025	15:01:46.143	18.431	1017	OK	11-07-2025	15:01:45.731	18.019	NaN	OK			
11-07-2025	15:01:37.252	9.539	186.800	20.657	164	0	OK	11-07-2025	15:01:37.252	9.539	28.800	OK	11-07-2025	15:01:37.252	9.539	1017	OK	11-07-2025	15:01:47.143	19.430	NaN	-179.859	1	5	OK	11-07-2025	15:01:47.143	19.430	NaN	OK	11-07-2025	15:01:47.143	19.430	1017	OK	11-07-2025	15:01:46.729	19.016	NaN	OK			
11-07-2025	15:01:37.752	10.040	185.891	20.711	164	0	OK	11-07-2025	15:01:37.752	10.040	28.800	OK	11-07-2025	15:01:37.752	10.040	1017	OK	11-07-2025	15:01:48.142	20.429	NaN	178.563	2	5	OK	11-07-2025	15:01:48.142	20.429	NaN	OK	11-07-2025	15:01:48.142	20.429	1017	OK	11-07-2025	15:01:47.731	20.019	NaN	OK			
11-07-2025	15:01:38.253	10.540	186.345	20.684	160	0	OK	11-07-2025	15:01:38.253	10.540	28.800	OK	11-07-2025	15:01:38.253	10.540	1017	OK	11-07-2025	15:01:49.146	21.433	NaN	-177.247	1	5	OK	11-07-2025	15:01:49.146	21.433	NaN	OK	11-07-2025	15:01:49.146	21.433	1017	OK	11-07-2025	15:01:48.732	21.019	NaN	OK			
11-07-2025	15:01:38.753	11.040	187.155	20.636	161	0	OK	11-07-2025	15:01:38.753	11.040	28.800	OK	11-07-2025	15:01:38.753	11.040	1017	OK	11-07-2025	15:01:50.146	22.433	NaN	178.089	1	5	OK	11-07-2025	15:01:50.146	22.433	NaN	OK	11-07-2025	15:01:50.146	22.433	1017	OK	11-07-2025	15:01:49.730	22.017	NaN	OK			
11-07-2025	15:01:39.252	11.540	185.405	20.740	136	-1	OK	11-07-2025	15:01:39.252	11.540	28.800	OK	11-07-2025	15:01:39.252	11.540	1017	OK	11-07-2025	15:01:51.147	23.434	NaN	173.961	2	5	OK	11-07-2025	15:01:51.147	23.434	NaN	OK	11-07-2025	15:01:51.147	23.434	1017	OK	11-07-2025	15:01:50.731	23.018	NaN	OK			
11-07-2025	15:01:39.753	12.041	185.506	20.734	156	0	OK	11-07-2025	15:01:39.753	12.041	28.800	OK	11-07-2025	15:01:39.753	12.041	1017	OK	11-07-2025	15:01:52.143	24.430	NaN	177.104	1	5	OK	11-07-2025	15:01:52.143	24.430	NaN	OK	11-07-2025	15:01:52.143	24.430	1017	OK	11-07-2025	15:01:51.730	24.018	NaN	OK			
11-07-2025	15:01:40.253	12.541	180.014	21.068	147	0	OK	11-07-2025	15:01:40.253	12.541	28.800	OK	11-07-2025	15:01:40.253	12.541	1017	OK	11-07-2025	15:01:53.146	25.434	NaN	-177.469	2	5	OK	11-07-2025	15:01:53.146	25.434	NaN	OK	11-07-2025	15:01:53.146	25.434	1017	OK	11-07-2025	15:01:52.731	25.018	NaN	OK			
11-07-2025	15:01:40.753	13.041	154.445	22.801	160	0	OK	11-07-2025	15:01:40.753	13.041	28.800	OK	11-07-2025	15:01:40.753	13.041	1017	OK	11-07-2025	15:01:54.145	26.432	NaN	-173.826	1	5	OK	11-07-2025	15:01:54.145	26.432	NaN	OK	11-07-2025	15:01:54.145	26.432	1017	OK	11-07-2025	15:01:53.731	26.018	NaN	OK			
11-07-2025	15:01:41.253	13.541	140.954	23.856	168	0	OK	11-07-2025	15:01:41.253	13.541	28.800	OK	11-07-2025	15:01:41.253	13.541	1017	OK	11-07-2025	15:01:55.146	27.434	NaN	-176.855	1	5	OK	11-07-2025	15:01:55.146	27.434	NaN	OK	11-07-2025	15:01:55.146	27.434	1017	OK	11-07-2025	15:01:54.730	27.017	NaN	OK			
11-07-2025	15:01:41.755	14.042	136.707	24.212	170	0	OK	11-07-2025	15:01:41.755	14.042	28.800	OK	11-07-2025	15:01:41.755	14.042	1017	OK	11-07-2025	15:01:56.145	28.432	NaN	-171.614	1	5	OK	11-07-2025	15:01:56.145	28.432	NaN	OK	11-07-2025	15:01:56.145	28.432	1017	OK	11-07-2025	15:01:55.730	28.017	NaN	OK			
11-07-2025	15:01:42.255	14.542	134.637	24.390	171	0	OK	11-07-2025	15:01:42.255	14.542	28.800	OK	11-07-2025	15:01:42.255	14.542	1017	OK	11-07-2025	15:01:57.147	29.434	NaN	-178.910	1	5	OK	11-07-2025	15:01:57.147	29.434	NaN	OK	11-07-2025	15:01:57.147	29.434	1017	OK	11-07-2025	15:01:56.731	29.019	NaN	OK			
11-07-2025	15:01:42.754	15.042	133.227	24.513	171	-1	OK	11-07-2025	15:01:42.754	15.042	28.800	OK	11-07-2025	15:01:42.754	15.042	1017	OK	11-07-2025	15:01:58.146	30.433	NaN	177.839	1	5	OK	11-07-2025	15:01:58.146	30.433	NaN	OK	11-07-2025	15:01:58.146	30.433	1017	OK	11-07-2025	15:01:57.730	30.018	NaN	OK			
11-07-2025	15:01:43.254	15.542	132.330	24.592	172	-1	OK	11-07-2025	15:01:43.254	15.542	28.800	OK	11-07-2025	15:01:43.254	15.542	1017	OK	11-07-2025	15:01:59.149	31.436	NaN	-176.504	2	5	OK	11-07-2025	15:01:59.149	31.436	NaN	OK	11-07-2025	15:01:59.149	31.436	1017	OK	11-07-2025	15:01:58.732	31.019	NaN	OK			
11-07-2025	15:01:43.754	16.042	132.738	24.556	171	0	OK	11-07-2025	15:01:43.754	16.042	28.800	OK	11-07-2025	15:01:43.754	16.042	1017	OK	11-07-2025	15:02:00.148	32.435	NaN	174.173	1	5	OK	11-07-2025	15:02:00.148	32.435	NaN	OK	11-07-2025	15:02:00.148	32.435	1017	OK	11-07-2025	15:01:59.732	32.019	NaN	OK			
11-07-2025	15:01:44.256	16.543	132.545	24.573	171	0	OK	11-07-2025	15:01:44.256	16.543	28.800	OK	11-07-2025	15:01:44.256	16.543	1017	OK	11-07-2025	15:02:01.151	33.438	NaN	-179.735	1	5	OK	11-07-2025	15:02:01.151	33.438	NaN	OK	11-07-2025	15:02:01.151	33.438	1017	OK	11-07-2025	15:02:00.733	33.020	NaN	OK			
11-07-2025	15:01:44.756	17.043	132.693	24.560	171	0	OK	11-07-2025	15:01:44.756	17.043	28.800	OK	11-07-2025	15:01:44.756	17.043	1017	OK	11-07-2025	15:02:02.150	34.438	NaN	-164.015	1	5	OK	11-07-2025	15:02:02.150	34.438	NaN	OK	11-07-2025	15:02:02.150	34.438	1017	OK	11-07-2025	15:02:01.734	34.021	NaN	OK			
11-07-2025	15:01:45.257	17.544	132.274	24.597	171	0	OK	11-07-2025	15:01:45.257	17.544	28.800	OK	11-07-2025	15:01:45.257	17.544	1017	OK	11-07-2025	15:02:03.152	35.439	NaN	-170.167	1	5	OK	11-07-2025	15:02:03.152	35.439	NaN	OK	11-07-2025	15:02:03.152	35.439	1017	OK	11-07-2025	15:02:02.734	35.022	NaN	OK			
11-07-2025	15:01:45.756	18.044	132.138	24.609	171	0	OK	11-07-2025	15:01:45.756	18.044	28.800	OK	11-07-2025	15:01:45.756	18.044	1017	OK	11-07-2025	15:02:04.149	36.436	NaN	179.196	1	5	OK	11-07-2025	15:02:04.149	36.436	NaN	OK	11-07-2025	15:02:04.149	36.436	1017	OK	11-07-2025	15:02:03.732	36.019	NaN	OK			
11-07-2025	15:01:46.257	18.544	132.059	24.616	171	0	OK	11-07-2025	15:01:46.257	18.544	28.800	OK	11-07-2025	15:01:46.257	18.544	1017	OK	11-07-2025	15:02:05.149	37.436	NaN	-174.731	1	5	OK	11-07-2025	15:02:05.149	37.436	NaN	OK	11-07-2025	15:02:05.149	37.436	1017	OK	11-07-2025	15:02:04.735	37.022	NaN	OK			
11-07-2025	15:01:46.758	19.045	132.568	24.571	171	0	OK	11-07-2025	15:01:46.758	19.045	28.800	OK	11-07-2025	15:01:46.758	19.045	1017	OK	11-07-2025	15:02:06.150	38.437	NaN	-168.080	1	5	OK	11-07-2025	15:02:06.150	38.437	NaN	OK	11-07-2025	15:02:06.150	38.437	1017	OK	11-07-2025	15:02:05.735	38.023	NaN	OK			
11-07-2025	15:01:47.258	19.546	132.319	24.593	171	0	OK	11-07-2025	15:01:47.258	19.546	28.800	OK	11-07-2025	15:01:47.258	19.546	1017	OK	11-07-2025	15:02:07.153	39.440	NaN	-176.460	1	5	OK	11-07-2025	15:02:07.153	39.440	NaN	OK	11-07-2025	15:02:07.153	39.440	1017	OK	11-07-2025	15:02:06.737	39.024	NaN	OK			
