nm,mua[cm-1],mua_std[cm-1],mus[cm-1],mus_std[cm-1],mus_fit[cm-1],musp[cm-1],musp_std[cm-1],assumed_g
450.0,0.1548,0.004711399362250803,58.633333333333326,3.251362487433746,53.61938968477499,17.59,0.975408746230124,0.7
452.0,0.1565,0.006143610552214711,58.73333333333333,3.2483909702724523,53.473889597083314,17.62,0.974517291081736,0.7
454.0,0.1397,0.0086741136096768,58.09999999999999,2.9040816080617584,53.32878433439139,17.43,0.8712244824185279,0.7
456.0,0.14279999999999998,0.006551580715868744,58.199999999999996,2.9506410454128726,53.18407282531305,17.46,0.885192313623862,0.7
458.0,0.1345,0.017129578778703303,57.83333333333333,3.0066592756745814,53.0397540013694,17.35,0.901997782702375,0.7
460.0,0.133,0.007262843030720747,57.63333333333332,2.8606310276830897,52.89582679698098,17.29,0.8581893083049268,0.7
462.0,0.13140000000000002,0.007700649323271385,57.766666666666666,2.8851685446199147,52.75229014945981,17.330000000000002,0.8655505633859749,0.7
464.0,0.1251,0.00506074215022966,57.43333333333332,2.964231210055426,52.609142999001634,17.23,0.8892693630166283,0.7
466.0,0.1176,0.0048152535412651605,57.26666666666666,2.939252352142421,52.466384288678015,17.18,0.8817757056427266,0.7
468.0,0.114,0.007212814385385546,56.76666666666666,3.018261747770086,52.32401296442859,17.03,0.905478524331026,0.7
470.0,0.1115,0.005642584995558223,57.166666666666664,2.9019788905988766,52.182027975053266,17.150000000000002,0.870593667179663,0.7
472.0,0.10389999999999999,0.0042406221882183605,56.33333333333332,2.9662296806752013,52.04042827220446,16.9,0.8898689042025606,0.7
474.0,0.09346,0.00627446461244619,56.166666666666664,3.053977145630867,51.89921281037932,16.85,0.9161931436892604,0.7
476.0,0.08842,0.0044170723782910445,55.699999999999996,3.072677058734001,51.758380546912086,16.71,0.9218031176202004,0.7
478.0,0.08499,0.005037164350242904,55.73333333333332,3.0124023471698744,51.61793044196634,16.72,0.9037207041509626,0.7
480.0,0.07195,0.006948068387759843,56.133333333333326,3.070640652893853,51.477861458527286,16.84,0.9211921958681564,0.7
482.0,0.07138,0.005720512797526694,55.56666666666666,3.022058819112036,51.33817256239423,16.67,0.9066176457336113,0.7
484.0,0.061590000000000006,0.005837303622413941,55.56666666666666,3.0849339633611357,51.19886272217277,16.67,0.9254801890083412,0.7
486.0,0.0558,0.003984107316716143,55.166666666666664,3.069916867727848,51.059930909267315,16.55,0.9209750603183543,0.7
488.0,0.04929,0.005326919059518988,55.066666666666656,3.027695660909325,50.92137609787344,16.52,0.9083086982727977,0.7
490.0,0.04109,0.004263914332171645,54.73333333333332,2.9818380279101944,50.783197264970305,16.419999999999998,0.8945514083730584,0.7
492.0,0.04188,0.0045500356802291135,54.533333333333324,2.964333016581666,50.6453933903131,16.36,0.8892999049745003,0.7
494.0,0.0367,0.0027159083240587043,54.36666666666665,3.030480728048387,50.50796345642556,16.31,0.9091442184145165,0.7
496.0,0.030400000000000003,0.00598695062429763,54.29999999999999,3.030453569025468,50.37090644859237,16.29,0.9091360707076407,0.7
498.0,0.03191,0.00347937556480867,54.03333333333333,2.7791157271631755,50.23422135485174,16.21,0.8337347181489526,0.7
500.0,0.02598,0.004219626395023645,54.03333333333333,2.8709270666845947,50.09790716598792,16.21,0.8612781200053787,0.7
502.0,0.0233,0.0059114248037065095,53.8,2.7569938500408813,49.96196287552372,16.14,0.8270981550122642,0.7
504.0,0.02321,0.0033986631358684425,53.6,2.714347390410796,49.82638747971313,16.080000000000002,0.8143042171232394,0.7
506.0,0.01776,0.002613340891901389,53.56666666666666,2.6812001080121535,49.69117997753382,16.07,0.8043600324036457,0.7
508.0,0.011349999999999999,0.003257874555179182,53.56666666666666,2.7106303965639422,49.55633937067987,16.07,0.8131891189691827,0.7
510.0,0.01668,0.0031548297287308474,53.39999999999999,2.6789582972302957,49.4218646635543,16.02,0.8036874891690887,0.7
512.0,0.01277,0.00402517998984111,52.89999999999999,2.6752998114104494,49.287754863261775,15.87,0.8025899434231344,0.7
514.0,0.013170000000000001,0.004005751642603697,53.26666666666666,2.6294157450836515,49.15400897960122,15.98,0.7888247235250956,0.7
516.0,0.00895,0.004315574467861067,52.69999999999999,2.7684733057128175,49.020626025058576,15.809999999999999,0.8305419917138455,0.7
518.0,0.008708,0.004077326166333356,52.599999999999994,2.8287811409658814,48.88760501479946,15.780000000000001,0.8486343422897645,0.7
520.0,0.0084125,0.00417376301229376,52.74999999999999,2.6870057685088815,48.7549449666619,15.825,0.8061017305526643,0.7
522.0,0.010759999999999999,0.004497306809303481,52.33333333333333,2.7452065718420995,48.622644901149116,15.700000000000001,0.8235619715526299,0.7
524.0,0.007442,0.003741113503612739,52.33333333333333,2.8728949471272145,48.49070384142223,15.700000000000001,0.8618684841381643,0.7
526.0,0.006489999999999999,0.0030759468802104735,51.93333333333332,2.7720286183911753,48.359120813293124,15.58,0.8316085855173532,0.7
528.0,0.006022,0.0031692782564278995,52.06666666666666,2.7771110310919056,48.227894845217186,15.620000000000001,0.8331333093275718,0.7
530.0,0.008699,0.00242131880706199,51.49999999999999,2.6471559912951226,48.097024968286156,15.45,0.794146797388537,0.7
532.0,0.0039369999999999995,0.0018073983444471242,51.96666666666666,2.1089271433942707,47.96651021622099,15.59,0.632678143018281,0.7
534.0,0.004319,0.0017044994703561641,51.46666666666666,2.6934763438379816,47.83634962536472,15.440000000000001,0.8080429031513948,0.7
536.0,0.0047775000000000005,0.0025091688084652656,51.11666666666666,2.822205476218908,47.706542234675304,15.335,0.8466616428656726,0.7
538.0,0.002851,0.0016023611816085867,50.966666666666654,2.3118631255139452,47.577087085718574,15.29,0.6935589376541837,0.7
540.0,0.003364,0.0021348386310626175,50.999999999999986,2.6970888369581822,47.44798322266116,15.299999999999999,0.8091266510874547,0.7
542.0,2.0019999999999997e-12,0.0011216408608519747,50.76666666666666,2.5789508824948517,47.31922969226336,15.23,0.7736852647484562,0.7
544.0,5.1145000000000005e-12,0.0005329295332296215,48.133333333333326,3.079542213854774,47.19082554387222,14.44,0.9238626641564327,0.7
546.0,2.434e-12,0.000657599998889,50.66666666666666,3.0949133895617935,47.062769829414414,15.2,0.928474016868538,0.7
