nm	mua[cm-1]	mua_std[cm-1]
450.0	0.1601	0.0056454067421179
452.0	0.1616	0.0060392134227424
454.0	0.1655999999999999	0.0064398834434663
456.0	0.1631	0.0061480098154897
458.0	0.1664	0.00590381755548
460.0	0.1649	0.0054446938718374
462.0	0.1694999999999999	0.0061096361856486
464.0	0.1636999999999999	0.0075356928458282
466.0	0.1655999999999999	0.0062115980727413
468.0	0.1641	0.0061122827159744
470.0	0.1652	0.0054429249580318
472.0	0.1608	0.0057073052602198
474.0	0.1593	0.0041791664358775
476.0	0.1644	0.0058023196723592
478.0	0.1611	0.0058695910219905
480.0	0.1604	0.0076501270868165
482.0	0.1628	0.0062531967133461
484.0	0.1619999999999999	0.0066839405838468
486.0	0.1631	0.0061273521560658
488.0	0.164	0.0066152648015829
490.0	0.1619999999999999	0.0063159410313199
492.0	0.1642	0.0077894515567885
494.0	0.1629	0.0072151760499726
496.0	0.1667	0.0064978628965393
498.0	0.1606	0.0092787690754515
500.0	0.1621	0.0089997530830326
502.0	0.1621999999999999	0.0079835169699748
504.0	0.1606	0.0098223227747492
506.0	0.1627	0.0089066905078412
508.0	0.1643	0.0070906824620608
510.0	0.1631	0.008160201522566
512.0	0.1626	0.0082684137938704
514.0	0.16	0.0085989376317695
516.0	0.1623	0.0077412475467618
518.0	0.1619	0.0071143048383755
520.0	0.1604	0.0073061279877127
522.0	0.1626	0.0087327537268791
524.0	0.1597	0.0081377644274421
526.0	0.1588	0.0076958863470471
528.0	0.1619999999999999	0.0073998665319962
530.0	0.1611999999999999	0.0064641652283002
532.0	0.1632	0.0070941290280531
534.0	0.1604999999999999	0.0069013686243301
536.0	0.1619	0.0071197690349554
538.0	0.1628	0.0066089352161568
540.0	0.1633	0.0071276890095797
542.0	0.1621	0.0070861367001585
544.0	0.1596	0.0070174385957017
546.0	0.1594999999999999	0.0080983918537746
548.0	0.1583999999999999	0.0072466254385688
550.0	0.1589	0.0071655037816223
552.0	0.1585	0.0066744029186877
554.0	0.1596	0.0071000956348975
556.0	0.1597	0.0066200779526199
558.0	0.1613	0.0068164470670052
560.0	0.1588	0.0070643252585101
562.0	0.1606	0.0071298191413004
564.0	0.1597	0.0076411814741561
566.0	0.1582	0.0067438495069833
568.0	0.1598	0.0076341985600533
570.0	0.1621	0.0079356361425946
572.0	0.1621	0.0082092690761986
574.0	0.1613	0.0083362661505816
576.0	0.1603	0.0082559069762201
578.0	0.1594999999999999	0.0082505218690159
580.0	0.1604	0.0077307626634132
582.0	0.1594999999999999	0.0069882617630663
584.0	0.1594	0.0073300160847346
586.0	0.1598	0.0080276528248637
588.0	0.1617	0.008260048127083
590.0	0.1617	0.0076668276955713
592.0	0.1599	0.0070747507917545
594.0	0.1597	0.0078362563498297
596.0	0.1603	0.0070060996352296
598.0	0.1596	0.007283941410331
600.0	0.1597	0.006278259568533
602.0	0.1603	0.0075444035344988
604.0	0.1598	0.0064876711186071
606.0	0.1604	0.0080753396901375
608.0	0.1614	0.0072961853723472
610.0	0.161	0.0071758511346162
612.0	0.1621999999999999	0.0068054625843989
614.0	0.1604	0.007202897222303
616.0	0.161	0.0070101513694229
618.0	0.1597	0.0071285030374936
620.0	0.1591	0.0071482364224063
622.0	0.1604	0.0070616509103924
624.0	0.161	0.0062673955446884
626.0	0.1613	0.0065613345525976
628.0	0.1623	0.0067033988062441
630.0	0.1601	0.00675449553087
632.0	0.1617	0.0071412901279361
634.0	0.1625	0.0079137011989755
636.0	0.1593	0.0072821615296016
638.0	0.1596	0.0080110263518401
640.0	0.1591	0.0072976404101295
642.0	0.1565	0.006917610377387
644.0	0.1611999999999999	0.00748501383424
646.0	0.1558999999999999	0.0070501554137497
648.0	0.1569999999999999	0.0073087128792022
650.0	0.1593	0.0067515887476418
652.0	0.1603	0.0068138747338712
654.0	0.1583999999999999	0.0069205723020321
656.0	0.1594	0.0068832234768383
658.0	0.1588	0.007119578292408
660.0	0.1591	0.0079884793589979
662.0	0.1585	0.0074458207682954
664.0	0.1589	0.0077854723843138
666.0	0.1596	0.0077611568438961
668.0	0.1611999999999999	0.0079188164722379
670.0	0.1575	0.007582549817073
672.0	0.1596	0.008219053443443
674.0	0.158	0.0083110368386461
676.0	0.1583	0.0078247628449843
678.0	0.1556	0.0076307856010301
680.0	0.1565	0.007181216926344
682.0	0.1545	0.0071226468932154
684.0	0.1542	0.0084438596288722
686.0	0.1541	0.0078601825128811
688.0	0.1548	0.0079488332865448
690.0	0.1551	0.0069177888424796
692.0	0.156	0.0077992877167654
694.0	0.1565	0.0083839794316965
696.0	0.1571	0.0094623229471179
698.0	0.1581	0.0091624838941801
700.0	0.1557	0.0093632852734022
702.0	0.1561	0.0087639553616073
704.0	0.1576	0.008449852069711
706.0	0.1563	0.0085325231096835
708.0	0.1589	0.0086876384436965
710.0	0.1554	0.0084627433312938
712.0	0.1554	0.0075731657519278
714.0	0.1573	0.0080373817983743
716.0	0.1569999999999999	0.0072446148582546
718.0	0.1576	0.007803766105676
720.0	0.1572	0.00805965412976
722.0	0.1578	0.0083074263965041
724.0	0.1594	0.0090337638273805
726.0	0.1578999999999999	0.0082718323167568
728.0	0.1604999999999999	0.0083885430392284
730.0	0.1589	0.008340722649806
732.0	0.1599	0.0081997892174053
734.0	0.1614	0.008324410037302
736.0	0.1632	0.008279962426109
738.0	0.1636999999999999	0.0075214918404644
740.0	0.1629999999999999	0.007465476095557
742.0	0.1667	0.0079071150956466
744.0	0.1672999999999999	0.0077242763055476
746.0	0.1665	0.0072358674516451
748.0	0.1619	0.0079919403846069
750.0	0.1574	0.0076406805979572
752.0	0.1576	0.0077447871755821
754.0	0.1569999999999999	0.0078892488180802
756.0	0.1545	0.0081435879495071
758.0	0.1553	0.0078797599762905
760.0	0.1554	0.0081962653344129
762.0	0.1556	0.0087969691750435
764.0	0.1558	0.0082875780911725
766.0	0.1572	0.0090269691945583
768.0	0.1561	0.0089299744929335
770.0	0.156	0.0086035020145043
772.0	0.1565	0.008374962686484
774.0	0.1563	0.007968518303337
776.0	0.1551	0.0087135909168761
778.0	0.1553	0.0079822178916098
780.0	0.1542	0.0077565424395979
782.0	0.1538	0.0083355996918171
784.0	0.1542	0.0080424030559019
786.0	0.1544	0.007599480164158
788.0	0.1558	0.0083019557416191
790.0	0.1551	0.0078774094883352
792.0	0.155	0.0091229597752992
794.0	0.1544	0.0093386624997346
796.0	0.1552	0.0093608852593921
798.0	0.1566	0.0083333333333333
800.0	0.1568	0.0095509291125827
802.0	0.1582	0.0089740091099894
804.0	0.1571	0.0078032756654568
806.0	0.1588	0.0081438456654225
808.0	0.1581	0.0076819814830662
810.0	0.1586	0.0080026538807949
812.0	0.1609	0.007974976295487
814.0	0.1596	0.008119310923751
816.0	0.1566	0.0079901019014191
818.0	0.1571	0.0072038227163357
820.0	0.1556	0.0078372015665709
822.0	0.1558999999999999	0.0088819417296494
824.0	0.1544	0.0087641244025407
826.0	0.1565	0.0088288667952851
828.0	0.1542	0.0083794870051295
