nm	musp[cm-1]	musp_std[cm-1]	fit_musp[cm-1]
450.0	4.915	0.1275574912745107	5.065235387485423
452.0	4.888	0.1336347518932865	5.027587476132602
454.0	4.853	0.1297348673351507	4.990551083927468
456.0	4.840999999999999	0.1299835697119513	4.954112025630703
458.0	4.813	0.1331978014870653	4.918256523697677
460.0	4.8020000000000005	0.1262274059968413	4.882971194584681
462.0	4.752	0.1175594412296271	4.848243035576809
464.0	4.732	0.1159745608546637	4.8140594121153555
466.0	4.696	0.1190089736216103	4.780408045603631
468.0	4.687	0.1209708668121541	4.747277001671088
470.0	4.662	0.1203579024881956	4.71465467887658
472.0	4.617	0.1160536274506075	4.6825297978324265
474.0	4.627	0.1148816890071512	4.650891390731865
476.0	4.585	0.1023311014354271	4.619728791263181
478.0	4.607	0.1148970553727698	4.5890316248946235
480.0	4.55	0.1145280169507298	4.558789799514933
482.0	4.534000000000001	0.115131915751851	4.528993496414954
484.0	4.524	0.1071974064547146	4.499633161596484
486.0	4.489	0.1076733744040538	4.47069949739513
488.0	4.436999999999999	0.1068433721521344	4.442183454404527
490.0	4.425	0.1081056867429869	4.414076223689824
492.0	4.431	0.1101851416121918	4.38636922927888
494.0	4.381	0.1118429233620654	4.3590541209201525
496.0	4.37	0.1118349754253787	4.332122767096681
498.0	4.366	0.1142224383914946	4.3055672482860885
500.0	4.338	0.1065514423954137	4.279379850456921
502.0	4.2940000000000005	0.1059630729995416	4.2535530587921
504.0	4.269	0.1099236547634	4.228079551630615
506.0	4.27	0.104625729196391	4.202952194619012
508.0	4.226	0.1096284409344964	4.178164035064552
510.0	4.195	0.1104334892845262	4.153708296482291
512.0	4.202	0.1002607711032696	4.129578373328642
514.0	4.157	0.1067687011982236	4.1057678259143024
516.0	4.133	0.1071219450491406	4.0822703754897205
518.0	4.121	0.1084894032488148	4.0590798994965835
520.0	4.105	0.1010061726508843	4.036190426979037
522.0	4.078	0.1027771171149936	4.013596134148672
524.0	4.054	0.0985496052318729	3.9912913400974777
526.0	4.033	0.0963851584292523	3.9692705026532944
528.0	4.008	0.0926348200005981	3.9475282143724364
530.0	3.996	0.0950903404111384	3.9260591986644378
532.0	3.975	0.0973353627388636	3.904858306044036
534.0	3.948	0.1011164833737632	3.8839205105057353
536.0	3.911	0.1006270464096795	3.863240906016463
538.0	3.914	0.0966655172345456	3.842814703122028
540.0	3.891	0.0971895183090019	3.822637225663235
542.0	3.871	0.0975978141831738	3.8027039075977176
544.0	3.847	0.0997000439590279	3.7830102899236615
546.0	3.832	0.1017338575783783	3.7635520177017767
548.0	3.805	0.1001707184735447	3.74432483717201
550.0	3.798	0.0994217851279319	3.725324592961618
552.0	3.762	0.1023653587238703	3.706547225381374
554.0	3.744	0.0999121836636775	3.6879887678067766
556.0	3.734	0.0969914085542289	3.6696453441412977
558.0	3.714	0.1012131353403898	3.651513166358764
560.0	3.694	0.1005460400654321	3.633588532122131
562.0	3.671	0.0975482153654677	3.6158678224759773
564.0	3.657	0.10095763688025	3.5983474996101754
566.0	3.644	0.0995288902781499	3.58102410469227
568.0	3.621	0.1039219792814676	3.5638942557662063
570.0	3.595	0.1069278053433977	3.546954645715134
572.0	3.592	0.1000067898929435	3.530202040286094
574.0	3.558	0.1008309917083478	3.513633276174485
576.0	3.551	0.099569071503153	3.497245259166283
578.0	3.539	0.0995096620409604	3.4810349623360644
580.0	3.503	0.0968994642546567	3.4649994242989424
582.0	3.475	0.0991337791715796	3.449135747514633
584.0	3.47	0.1010380688553809	3.4334410966418796
586.0	3.445	0.1034412817275197	3.4179126969415785
588.0	3.449	0.1038941769301822	3.402547832726988
590.0	3.4200000000000004	0.1043487741502824	3.3873438458594514
592.0	3.404	0.0991855724275349	3.37229813428815
594.0	3.383	0.1039078414084944	3.357408150632434
596.0	3.364	0.1000349321703222	3.342671400805333
598.0	3.354	0.0968134262701866	3.328085442676918
600.0	3.3360000000000003	0.1003720240399511	3.313647884776203
602.0	3.317	0.0992924350306758	3.2993563850303556
604.0	3.3040000000000003	0.1013747478723021	3.2852086495400004
606.0	3.292	0.0974540094127342	3.271202431389461
608.0	3.272	0.1030436800585073	3.257335529490822
610.0	3.261	0.0988561743639542	3.2436057874607322
612.0	3.243	0.1035933407459842	3.2300110925288976
614.0	3.231	0.1002586777747234	3.2165493744772777
616.0	3.209	0.1013718250480884	3.203218604608999
618.0	3.1990000000000003	0.1008376032153791	3.1900167947460565
620.0	3.177	0.1041985284604986	3.176941996254906
622.0	3.166	0.1031422366814598	3.1639922990990597
624.0	3.154	0.1006307269668491	3.1511658309178605
626.0	3.135	0.1058081188978017	3.1384607561306157
628.0	3.119	0.1085213752626131	3.1258752750652943
630.0	3.111	0.1066952507996951	3.1134076231110526
632.0	3.096	0.1046321009213228	3.101056069893838
634.0	3.076	0.1108520312827247	3.0888189184743653
636.0	3.0620000000000003	0.1126237042785935	3.0766945045677967
638.0	3.059	0.1114031717082896	3.064681195784442
640.0	3.048	0.1112935169431725	3.052777390890868
642.0	3.032	0.1161105263143166	3.040981519090774
644.0	3.03	0.1124640957795249	3.0292920393250586
646.0	3.01	0.1161806809124648	3.017707439590491
648.0	2.9970000000000003	0.1139250349143985	3.00622623627643
650.0	2.985	0.1167077176455125	2.994846973519059
652.0	2.969	0.1208670323379077	2.9835682225726066
654.0	2.958	0.1208185048372604	2.97238858119706
656.0	2.951	0.1167486484443408	2.961306673061874
658.0	2.94	0.1217332643705943	2.950321147165212
660.0	2.923	0.121782542485863	2.9394306772682626
662.0	2.905	0.1224509980097354	2.928633961344181
664.0	2.902	0.1225120805330771	2.9179297210412463
666.0	2.893	0.1216641805935755	2.9073167011598073
668.0	2.875	0.1266052482675537	2.896793669142618
670.0	2.861	0.1271202405423917	2.8863594145781875
672.0	2.86	0.1274851722193702	2.876012748716761
674.0	2.844	0.130360847716191	2.8657525039985625
676.0	2.8360000000000003	0.1275075403241162	2.8555775335939697
678.0	2.827	0.1300529806570298	2.845486710955258
680.0	2.805	0.1341094080716687	2.8354789293796
682.0	2.805	0.1322700193720834	2.825553101582995
684.0	2.798	0.1323337531479488	2.8157081592848248
686.0	2.786	0.130531770883094	2.805943052802723
688.0	2.778	0.1320791008785601	2.796256750657497
690.0	2.761	0.1348843125710984	2.7866482391877834
692.0	2.757	0.1322702993826104	2.7771165221742
694.0	2.747	0.1321302200926359	2.7676606204727094
696.0	2.733	0.132891304325874	2.7582795716569466
698.0	2.725	0.1340978084169246	2.748972429669261
700.0	2.719	0.1336911864459782	2.739738264480236
702.0	2.7139999999999995	0.1314816797077273	2.730576161756445
704.0	2.696	0.1380816541394133	2.7214852225362343
706.0	2.6950000000000003	0.1330071008964893	2.7124645629132966
708.0	2.6900000000000004	0.1349617229686502	2.7035133137278295
710.0	2.677	0.1340702782356062	2.694630620265082
712.0	2.6690000000000005	0.1305660988650557	2.6858156419610735
714.0	2.649	0.1339022123384666	2.677067552115307
716.0	2.649	0.1338830335280264	2.668385537610276
718.0	2.641	0.1331733299218321	2.659768798637596
720.0	2.641	0.1331299374555309	2.6512165484305688
722.0	2.626	0.1376711056588612	2.642728013003022
724.0	2.612	0.1405616599464931	2.6343024308942486
726.0	2.612	0.1410298978896511	2.62593905291989
728.0	2.6	0.1404245766537861	2.6176371419286015
730.0	2.5890000000000004	0.1411571228572379	2.6093959725643527
732.0	2.578	0.1435410209360308	2.601214831034209
734.0	2.575	0.1453290859046341	2.59309301488146
736.0	2.568	0.1471145518228048	2.585029832763947
738.0	2.563	0.1474020285636916	2.577024604237453
740.0	2.548	0.1460707591089561	2.5690766595440397
742.0	2.544	0.1463019033149611	2.56118533940518
744.0	2.526	0.1475607428807071	2.553349994819585
746.0	2.527	0.147480653679988	2.5455699868655883
748.0	2.518	0.1496839468701213	2.537844686507981
750.0	2.502	0.1515232125801762	2.5301734744091786
752.0	2.497	0.1504984311472307	2.5225557407446133
754.0	2.496	0.1510350298669604	2.5149908850222373
756.0	2.487	0.1522118406841086	2.507478315906047
758.0	2.474	0.1544800918093723	2.500017451043507
760.0	2.4690000000000003	0.1552418264880893	2.4926077168967975
762.0	2.463	0.1588048728922415	2.4852485485777667
764.0	2.46	0.1588673645094322	2.4779393896865174
766.0	2.451	0.1591473422436262	2.4706796921535217
768.0	2.442	0.1581959247808994	2.4634689160851817
770.0	2.434	0.1579227033928739	2.4563065296127484
772.0	2.426	0.1584057923869212	2.449192008744523
774.0	2.418	0.1632590155943599	2.442124837221248
776.0	2.413	0.1631861770955547	2.4351045063746217
778.0	2.411	0.1651036337472414	2.4281305149888475
780.0	2.398	0.1658076380614179	2.4212023691651563
782.0	2.392	0.163130789003755	2.4143195821892194
784.0	2.389	0.1632120486958796	2.4074816744013874
786.0	2.377	0.1673593015116553	2.4006881730696796
788.0	2.369	0.1664085408539352	2.3939386122654764
790.0	2.36	0.1679331877728626	2.387232532741818
792.0	2.353	0.1661947392609786	2.380569481814274
794.0	2.353	0.1682881860982728	2.373949013244318
796.0	2.335	0.1667493868795065	2.3673706871251285
798.0	2.3280000000000003	0.1657105910918189	2.360834069769785
800.0	2.327	0.1677328858264067	2.3543387336017814
802.0	2.322	0.1653548373112266	2.3478842570478107
804.0	2.313	0.1663880634370176	2.3414702244327734
806.0	2.304	0.1681842757729864	2.3350962258769385
808.0	2.298	0.1682582524162569	2.3287618571952287
810.0	2.293	0.1719946884049218	2.3224667197985633
812.0	2.284	0.1732045105334609	2.316210420597222
814.0	2.279	0.1675342603620576	2.3099925719061694
816.0	2.275	0.173062466421667	2.303812791352314
818.0	2.276	0.1692058429367928	2.297670701783634
820.0	2.253	0.1702765361564302	2.2915659311801475
822.0	2.265	0.1707062309464731	2.285498112566671
824.0	2.251	0.17236266674918	2.2794668839273298
826.0	2.246	0.1712846882953769	2.273471888121781
828.0	2.245	0.1751985822142306	2.267512772803107
830.0	2.239	0.1772055373546091	2.261589190337348
832.0	2.233	0.174938366571674	2.255700797724625
834.0	2.231	0.1773383457938212	2.2498472565218286
836.0	2.222	0.179258004280884	2.2440282327668317
838.0	2.219	0.1796490405701566	2.238243396904194
840.0	2.207	0.1838755617862858	2.2324924237123214
842.0	2.202	0.1859566523230881	2.2267749922320554
844.0	2.1990000000000003	0.1857896062156808	2.2210907856966537
846.0	2.1990000000000003	0.1852860318001519	2.2154394914631275
848.0	2.201	0.186809535273593	2.209820800944921
850.0	2.186	0.1849857518704122	2.204234409545885
852.0	2.188	0.1889878172309749	2.1986800165955227
854.0	2.177	0.1849531138450706	2.193157325285492
856.0	2.177	0.1858697273779556	2.1876660426073116
858.0	2.167	0.1893969637468963	2.182205879291267
860.0	2.1590000000000003	0.1874098301702566	2.1767765497464806
862.0	2.157	0.1903288252693087	2.171377772002119
864.0	2.146	0.1877012993502649	2.1660092676497156
866.0	2.146	0.1900636020902112	2.1606707617865877
868.0	2.133	0.1884080153467829	2.1553619829603146
870.0	2.134	0.1929530743183143	2.150082663114263
872.0	2.125	0.1913879132373132	2.144832537534136
874.0	2.129	0.1910327358670222	2.139611344795518
876.0	2.123	0.1901413379438088	2.1344188267123965
878.0	2.122	0.1907556772289143	2.129254728286648
880.0	2.115	0.1923341998825077	2.124118797658452
882.0	2.113	0.1951772856648698	2.1190107860576286
884.0	2.095	0.192039604968723	2.113930447755873
886.0	2.096	0.193746111072082	2.1088775400198605
888.0	2.106	0.1980286174605411	2.1038518230652232
890.0	2.082	0.1935463067059306	2.0988530600113604
892.0	2.0780000000000003	0.1942164377475758	2.093881016837076
894.0	2.075	0.1974557303096032	2.0889354623370213
896.0	2.07	0.1960140458560037	2.0840161680789318
898.0	2.0580000000000003	0.1988543731688973	2.0791229083616316
900.0	2.052	0.1967051437564531	2.074255460173799
902.0	2.051	0.1960733674727365	2.0694136031534764
904.0	2.047	0.1996786925210438	2.0645971195482993
906.0	2.045	0.1993685092213306	2.0598057941764445
908.0	2.039	0.2031168246218033	2.0550394143882715
910.0	2.026	0.2032114388731325	2.050297770028645
912.0	2.032	0.2029608610326412	2.0455806533999303
914.0	2.0250000000000004	0.2039313610016861	2.0408878592256414
916.0	2.017	0.2057074513855916	2.0362191846147297
918.0	2.016	0.2090628708083223	2.031574429026502
920.0	2.013	0.2062474242263403	2.026953394236158
922.0	2.01	0.208202596015646	2.022355884300924
924.0	1.998	0.207096744852243	2.0177817055267853
926.0	2.001	0.2122084928659652	2.0132306664357946
928.0	1.99	0.2131299956874405	2.008702577733947
930.0	1.989	0.2145134028446707	2.004197252279613
932.0	1.983	0.2162791406184763	1.9997145050525218
934.0	1.979	0.2183672294864324	1.995254153123265
936.0	1.981	0.2230189052496792	1.9908160156233425
938.0	1.975	0.217657733354202	1.986399913715709
940.0	1.97	0.2245250680276914	1.9820056705658258
942.0	1.956	0.2231195217538222	1.9776331113132126
944.0	1.975	0.2290181943281654	1.9732820630434764
946.0	1.955	0.2306978677249521	1.9689523547608163
948.0	1.955	0.2314164649434296	1.964643817360996
950.0	1.948	0.2372101740370059	1.9603562836047679
952.0	1.95	0.2406999566593281	1.95608958809175
954.0	1.937	0.2428804003802877	1.9518435672347345
956.0	1.933	0.2460491268822268	1.947618059234433
958.0	1.925	0.2513291089142965	1.9434129040546375
960.0	1.918	0.2517282975798889	1.9392279433978
962.0	1.92	0.2540203160923439	1.9350630206810142
964.0	1.905	0.2588666657128413	1.9309179810123944
966.0	1.902	0.2571292128459259	1.9267926711678514
968.0	1.899	0.2598491490209533	1.9226869395682402
970.0	1.892	0.2581871749021445	1.9186006362568935
972.0	1.891	0.2634103028628929	1.9145336128775166
974.0	1.89	0.2638265423425862	1.9104857226524479
976.0	1.883	0.2627749353851441	1.9064568203612708
978.0	1.882	0.2612231910752863	1.9024467623197772
980.0	1.878	0.2620178110994238	1.8984554063592674
982.0	1.87	0.2636836394780592	1.8944826118061897
984.0	1.875	0.2627846604689432	1.8905282394621057
986.0	1.866	0.2628984219178836	1.88659215158398
988.0	1.859	0.2652483578799776	1.8826742118647841
990.0	1.863	0.2623760848029851	1.8787742854144136
992.0	1.861	0.2618377124371525	1.8748922387409086
994.0	1.849	0.2633989135405098	1.8710279397319747
996.0	1.853	0.2628522093318169	1.867181257636795
998.0	1.851	0.260146729727003	1.863352063048134
1000.0	1.849	0.2605049702139536	1.8595402278847224
1002.0	1.835	0.2639014967748383	1.8557456253739206
1004.0	1.83	0.2651842127025412	1.8519681300346547
1006.0	1.827	0.2634091780134632	1.8482076176606193
1008.0	1.828	0.2631013511703319	1.8444639653037458
1010.0	1.82	0.2603416558635551	1.8407370512579264
1012.0	1.825	0.2587110977495271	1.837026755042993
1014.0	1.809	0.2593491854623799	1.8333329573889443
1016.0	1.808	0.2588071401690245	1.8296555402204184
1018.0	1.81	0.2575172534073574	1.825994386641405
1020.0	1.7999999999999998	0.2586470973888056	1.8223493809201907
1022.0	1.804	0.2523172606065625	1.818720408474543
1024.0	1.802	0.2527889374825968	1.8151073558571125
1026.0	1.794	0.252119509188758	1.8115101107410658
1028.0	1.795	0.2507277309388182	1.807928561905934
1030.0	1.786	0.2511166174420872	1.804362599223679
1032.0	1.795	0.2505586843854901	1.800812113644968
1034.0	1.7799999999999998	0.2523466653359478	1.7972769971856615
1036.0	1.773	0.2501759380915759	1.7937571429134997
1038.0	1.776	0.252925304935159	1.790252444934995
1040.0	1.773	0.2520411978865731	1.7867627983825163
1042.0	1.77	0.2510891829167034	1.783288099401573
1044.0	1.771	0.2482267979285809	1.7798282451382836
1046.0	1.763	0.2541341630704266	1.7763831337270366
1048.0	1.766	0.2481415366725655	1.7729526642783313
1050.0	1.762	0.2485889561822939	1.769536736866802
1052.0	1.757	0.2521550571364893	1.7661352525194172
1054.0	1.762	0.2499671089474684	1.7627481132038565
1056.0	1.752	0.2505081255920741	1.7593752218170553
1058.0	1.752	0.2510290426363324	1.7560164821739217
1060.0	1.756	0.2482156071932645	1.7526717989962166
1062.0	1.7480000000000002	0.2482202327583658	1.749341077901597
1064.0	1.746	0.2488272245039135	1.746024225392821
1066.0	1.735	0.2489828691613189	1.742721148847108
