nm	mua[cm-1]	mua_std[cm-1]
250		
252		
254		
256		
258		
260		
262		
264		
266		
268		
270		
272		
274		
276		
278		
280		
282		
284		
286		
288		
290		
292		
294		
296		
298		
300		
302		
304		
306		
308		
310		
312		
314		
316		
318		
320		
322		
324		
326		
328		
330		
332		
334		
336		
338		
340		
342		
344		
346		
348		
350		
352		
354		
356		
358		
360		
362		
364		
366		
368		
370		
372		
374		
376		
378		
380		
382		
384		
386		
388		
390		
392		
394		
396		
398		
400		
402		
404		
406		
408		
410		
412		
414		
416		
418		
420		
422		
424	0.010509722459752265	1.8301442093096357e-15
426		
428		
430		
432		
434		
436		
438		
440		
442		
444		
446		
448		
450		
452		
454		
456		
458		
460		
462		
464		
466		
468		
470		
472		
474		
476		
478		
480		
482		
484		
486		
488		
490		
492		
494		
496		
498		
500		
502		
504		
506		
508		
510		
512		
514		
516		
518		
520		
522		
524		
526		
528		
530		
532		
534		
536		
538		
540		
542		
544		
546		
548		
550		
552		
554		
556		
558		
560		
562		
564		
566		
568		
570		
572		
574		
576		
578		
580		
582		
584		
586		
588		
590		
592		
594		
596		
598		
600		
602		
604		
606		
608		
610		
612		
614		
616		
618		
620		
622		
624		
626		
628		
630		
632		
634		
636		
638		
640		
642		
644		
646		
648		
650		
652		
654		
656		
658		
660		
662		
664		
666		
668		
670	0.010498688628367035	0.0
672		
674		
676		
678		
680		
682		
684		
686		
688		
690		
692		
694		
696		
698		
700		
702		
704		
706		
708		
710		
712		
714		
716		
718		
720		
722		
724		
726		
728		
730		
732	0.024565725637020062	0.006085912886749912
734	0.024557107587438894	0.006068853565413543
736	0.02453988961566925	0.006079504414070829
738		
740		
742		
744		
746		
748	0.04216450378934691	0.008606837924644912
750	0.038616863857819164	0.008599274849618142
752		
754		
756		
758		
760	0.02810964605650205	0.006094478562873958
762		
764		
766		
768		
770		
772		
774		
776	0.04563813433064702	0.013615280492558612
778		
780		
782		
784		
786		
788		
790		
792		
794		
796		
798		
800		
802		
804		
806		
808	0.04201686853700192	0.010526315789473085
810		
812		
814		
816		
818		
820		
822		
824		
826		
828		
830		
832		
834		
836		
838		
840		
842		
844		
846		
848		
850		
852		
854		
856		
858		
860		
862		
864		
866		
868		
870		
878		
886		
892		
894		
896		
898		
900		
902		
904		
906		
908		
910		
912		
914		
916		
918		
920		
922		
924		
926		
928		
930	0.17572623602296433	0.05618029768861769
932	0.16565016874695168	0.04723334031693678
934	0.15190165493975344	0.033497266246029986
936	0.18408749410069847	0.043069090495782565
938	0.20224596899174002	0.04280659939197724
940	0.1954459607297017	0.052808278379431826
942	0.20423758786569798	0.008934620390493277
944	0.22571034635702308	0.020032552992949718
946	0.26910714823016346	0.053419648764545455
948	0.2840686274708294	0.03009045884971652
950	0.3034413033649021	0.01672167602796525
952	0.3266944966605967	0.012615444575654125
954	0.34651457972541655	0.00649681473206686
956	0.36596210990690214	0.009058288876176919
958	0.3815984386767578	0.0065409773699727294
960	0.4009445720187786	1.900073300276707e-15
962	0.41277471640404634	0.0
964	0.42845070436720134	0.006593265350471179
966	0.43655504939432754	1.9913811705417197e-15
968	0.44850566165351785	0.0
970	0.4563244933546932	0.006332909716888574
972	0.4604968561132867	1.91050180357131e-15
974	0.4604968561132867	1.91050180357131e-15
976	0.4604968561132867	1.91050180357131e-15
978	0.4604968561132867	1.91050180357131e-15
980	0.4604968561132867	1.91050180357131e-15
982	0.4641551696715565	0.0063352260701134795
984	0.4599801322182888	1.9982401183162615e-15
986	0.4599801322182888	1.9982401183162615e-15
988	0.45581293271304874	0.006325970809235861
990	0.44418572507935666	0.006610880944919943
992	0.4360668509653583	1.9042310099053205e-15
994	0.4355797433913013	1.9868346381888857e-15
996	0.41277471640404634	0.0
998	0.41231466988952875	2.7442468792709136e-15
1000	0.4004984632028562	1.9755586186758953e-15
1002	0.3887219001653046	0.0
1004	0.38075196131644257	0.006526189930553049
1006	0.3652868773350646	0.0
1008	0.3648829326313656	1.889758027202458e-15
1010	0.3532376083040835	0.0
1012	0.34163101922842665	0.0
1014	0.3300629646816997	2.7089085387410194e-15
1016	0.31853324537494965	1.9424856507293123e-15
1018	0.30704166343979616	1.8795541501657274e-15
1020	0.2955880224154439	0.0
1022	0.28417212723576846	0.0
1024	0.2727937842166206	2.6863929632083187e-15
1026	0.2614528010432247	1.92104541175879e-15
1028	0.25382073271416933	0.006360818242999555
1030	0.24621084390348166	0.006349159851791711
1032	0.23862303587385678	1.91050180357131e-15
1034	0.2274055763387444	1.8634551852820803e-15
1036	0.21986829111020942	0.006312138511548028
1038	0.21599111803461815	2.658556005288904e-15
1040	0.2050800422112701	1.8594734434331877e-15
1042	0.19397159882734968	1.8938706670875547e-15
1044	0.19020849778661109	0.0061573082387798754
1046	0.18289912750918008	1.889758027202458e-15
1048	0.18270255651669282	1.8535326337097583e-15
1050	0.17186244705411013	1.8535326337097583e-15
1052	0.1716780362236522	1.8836224491920597e-15
1054	0.1608613775162438	0.0
1056	0.15005640617870386	1.8795541501657274e-15
1058	0.1570899851098544	0.006232640545408511
1060	0.1498957401952427	1.849593138207719e-15
1062	0.14624837087241851	0.008737956882885789
1064	0.14973541790162592	0.0
1066	0.14973541790162592	0.0
1068	0.14614410883088425	0.0062192129535692114
1070	0.14614410883088425	0.0062192129535692114
1072	0.14614410883088425	0.0062192129535692114
1074	0.14614410883088425	0.0062192129535692114
1076	0.14973541790162592	0.0
1078	0.14973541790162592	0.0
1080	0.13911406799178908	1.849593138207719e-15
1082	0.1498957401952427	1.849593138207719e-15
