nm	musp[cm-1]	musp_std[cm-1]
450.0	6.429	0.0813685412562669
452.0	6.462	0.0775256230044119
454.0	6.454	0.0621725992601678
456.0	6.42	0.0742639603203944
458.0	6.43	0.0823407554009555
460.0	6.414	0.0728953249191037
462.0	6.391	0.0672772043282285
464.0	6.399	0.086982047246601
466.0	6.372999999999999	0.0578523023646329
468.0	6.329000000000001	0.0621821299406075
470.0	6.363	0.0600797823474218
472.0	6.33	0.0529894002910948
474.0	6.303999999999999	0.0650517362955192
476.0	6.289	0.0716210880042576
478.0	6.321	0.0676855474479845
480.0	6.288	0.0645763018872409
482.0	6.276000000000001	0.0589421143114682
484.0	6.248	0.0592004337655114
486.0	6.231	0.071163348868798
488.0	6.228	0.0687459089691888
490.0	6.206	0.0698470993238129
492.0	6.212	0.0811753170536798
494.0	6.165000000000001	0.0697567201063811
496.0	6.197	0.0734877162826853
498.0	6.118	0.0770480049172488
500.0	6.127000000000001	0.0743564986325259
502.0	6.114000000000001	0.0788614975921021
504.0	6.082999999999999	0.0757927648913576
506.0	6.096	0.071024252508875
508.0	6.0840000000000005	0.0783446012384382
510.0	6.061	0.0558147287964144
512.0	6.047000000000001	0.0658181182605371
514.0	6.010999999999999	0.0613184361940512
516.0	6.032	0.0614264590916911
518.0	6.009	0.0592267040205329
520.0	5.997	0.0555773290665612
522.0	5.954000000000001	0.0615800192061687
524.0	5.949999999999999	0.0652160701243882
526.0	5.920999999999999	0.0681052199736137
528.0	5.934	0.0676802577119103
530.0	5.918	0.0717523174659076
532.0	5.896	0.0650249714615873
534.0	5.894	0.070595876492737
536.0	5.865	0.0692645670376532
538.0	5.868	0.072367887292024
540.0	5.835	0.0720709526940098
542.0	5.819	0.0794836732982796
544.0	5.791	0.0768834294786275
546.0	5.775	0.0763342228639741
548.0	5.77	0.0790780205451132
550.0	5.739999999999999	0.0632929695937866
552.0	5.716	0.0609519138540302
554.0	5.747	0.0595938931331513
556.0	5.694	0.0582938490709456
558.0	5.711	0.0544517001967892
560.0	5.694	0.0592585879591607
562.0	5.656	0.065763887422269
564.0	5.659999999999999	0.0659704385723797
566.0	5.651000000000001	0.0594885609919158
568.0	5.623	0.059461991179759
570.0	5.635	0.0578503817331112
572.0	5.613	0.0597081378741212
574.0	5.597	0.066151341634165
576.0	5.593	0.0667699200405558
578.0	5.571000000000001	0.0639826365334983
580.0	5.5440000000000005	0.0393844614342904
