nm	mua[cm-1]	mua_std[cm-1]
450.0	261.6	2.25289936649543
452.0	236.0	2.44999370117608
454.0	216.1	4.533193548702711
456.0	209.79999999999998	6.07304495290459
458.0	193.70000000000002	3.3443152429824
460.0	182.5	4.22421005837587
462.0	171.45	1.93218356615858
464.0	166.0	2.21933145311046
466.0	158.9	2.39165214862027
468.0	150.60000000000002	3.6250500209405296
470.0	142.9	1.8928436657202101
472.0	138.39999999999998	2.0208786745581597
474.0	133.4	2.59305815925596
476.0	125.8	2.61236376571954
478.0	123.05	1.4422205101855898
480.0	118.9	1.5834594248038
482.0	116.8	1.59799256785304
484.0	113.6	2.3939739161300597
486.0	108.7	1.71644191265133
488.0	105.60000000000001	2.4256855973691103
490.0	104.3	1.90846069443995
492.0	101.49999999999999	2.29759294335035
494.0	99.53999999999999	1.5914990216152998
496.0	97.87	1.6401543137276702
498.0	96.13000000000001	1.45142841519809
500.0	94.01	1.1919741897943001
502.0	94.95	1.6644852390787699
504.0	92.09	1.21520002925901
506.0	92.27	1.6168487869927701
508.0	90.33	1.40868295024856
510.0	92.29	1.46764193163938
512.0	92.91	1.27144809053047
514.0	95.57	2.0404084558408
516.0	98.36	1.4130354333145598
518.0	103.49999999999999	1.4530512808195502
520.0	111.80000000000001	2.1236469911946
522.0	122.30000000000001	1.79574256451883
524.0	133.70000000000002	1.48082392814704
526.0	149.3	2.03810636401057
528.0	162.70000000000002	2.56144249483001
530.0	179.35000000000002	0.24999999999998998
532.0	195.15	3.07235658737718
534.0	214.8	1.64384373412505
536.0	222.70000000000005	0.0
538.0	227.4	2.87046892279549
540.0	234.7	4.0569898529163995
542.0	233.45	2.75116137092843
544.0	232.39999999999998	1.46232691283445
546.0	223.89999999999998	0.94997314677407
548.0	214.1	0.0
550.0	196.8	2.5620463759762497
552.0	180.9	1.7682382946499702
554.0	169.95	1.11551557586615
556.0	160.60000000000002	2.4225134527121597
558.0	155.39999999999998	3.6165130535733803
560.0	153.0	1.34996296245489
562.0	155.7	1.17284080571728
564.0	161.7	0.8
566.0	167.7	2.31330024525381
568.0	181.8	3.68277845421865
570.0	202.70000000000002	2.3844496220302
572.0	219.00000000000003	3.09999999999999
574.0	234.00000000000003	2.56857937389522
576.0	250.85000000000002	0.15
578.0	241.5	3.22937902527543
580.0	228.29999999999998	2.64075746709159
582.0	198.75	1.12915897906362
584.0	165.6	1.47807014651696
586.0	131.7	2.22359506205604
588.0	100.69999999999999	1.20410819414613
590.0	78.47	0.85137941810936
592.0	59.02	1.01539264436089
594.0	46.55999999999999	1.4645978675323201
596.0	37.419999999999995	1.10450592272442
598.0	31.15	0.83423950730923
600.0	26.34999999999999	0.95414883535012
600.0	21.31	0.721296843055943
602.0	17.215000000000003	0.6802710856709995
604.0	14.19	0.5245621336874841
606.0	11.9	0.5303062241366066
608.0	10.06	0.4897776769509874
610.0	8.614	0.4119738395146524
612.0	7.45	0.38780821275025
614.0	6.544	0.345147311544892
616.0	5.812	0.3067311526402235
618.0	5.204	0.2765067811103373
620.0	4.716	0.2589723279940671
622.0	4.266	0.2311190169587956
624.0	3.908	0.2071040771337738
626.0	3.593	0.1949363302196545
628.0	3.31	0.1831502789824737
630.0	3.088	0.1675390501743797
632.0	2.873	0.1495393750533886
634.0	2.708	0.1438273999892035
636.0	2.541	0.1365317310380518
638.0	2.409	0.1307157881969528
640.0	2.287	0.1238461809795113
642.0	2.169	0.1233832731725229
644.0	2.085	0.1195216804549092
646.0	2.002	0.1147819188238673
648.0	1.935	0.1145856733767789
650.0	1.871	0.113438295621806
652.0	1.82	0.1104003936296435
654.0	1.7680000000000002	0.1129945918076514
656.0	1.722	0.1093029542257167
658.0	1.6800000000000002	0.1087958786438004
660.0	1.631	0.1094661568987093
662.0	1.5890000000000002	0.1088408057102404
664.0	1.5559999999999998	0.1075547520631145
666.0	1.514	0.1080357736819694
668.0	1.505	0.1075905590424258
670.0	1.4860000000000002	0.1076026067883781
672.0	1.473	0.1039342147112985
674.0	1.4449999999999998	0.1069739786058527
676.0	1.44	0.1058718069467638
678.0	1.436	0.1052552453166428
680.0	1.432	0.1014199191480647
682.0	1.423	0.106128968828927
684.0	1.432	0.1067171176985048
686.0	1.429	0.1042995448778583
688.0	1.431	0.102845923354391
690.0	1.441	0.1070656888475251
692.0	1.447	0.1038524594476863
694.0	1.464	0.1038229737415723
696.0	1.477	0.1044549640092458
698.0	1.5	0.1038400954934979
700.0	1.513	0.1050281561308533
702.0	1.544	0.1055449117440614
704.0	1.573	0.1068087017308613
706.0	1.603	0.1083243870949943
708.0	1.632	0.1129680387444951
710.0	1.663	0.1133987828445141
712.0	1.704	0.1169081099532428
714.0	1.736	0.1211605403718961
716.0	1.775	0.1148436403480622
718.0	1.818	0.1200235573584938
720.0	1.86	0.1217894357761241
722.0	1.906	0.1232305878334506
724.0	1.946	0.1280165884312664
726.0	1.996	0.1266062233954915
728.0	2.047	0.1302033547196342
730.0	2.098	0.1307438358672559
732.0	2.144	0.1354885080088681
734.0	2.206	0.1337137166662096
736.0	2.25	0.1409668553986633
738.0	2.309	0.140842263578361
740.0	2.355	0.1434517168308849
742.0	2.415	0.1451416506914266
744.0	2.465	0.15204385332309
746.0	2.527	0.1497260048996495
748.0	2.579	0.1561459431287137
750.0	2.639	0.1590050857172517
752.0	2.6900000000000004	0.1593812883048961
754.0	2.754	0.1656534386253272
756.0	2.817	0.1626728140914898
758.0	2.8710000000000004	0.1689510850388432
760.0	2.93	0.1731056196533076
762.0	2.989	0.1757045781003788
764.0	3.045	0.1789077974823904
766.0	3.1130000000000004	0.1745059339611531
768.0	3.1590000000000003	0.1889633186691775
770.0	3.223	0.1856716203874033
772.0	3.2840000000000003	0.1876444628664656
774.0	3.335	0.1886631985023465
776.0	3.405	0.19124039554678
778.0	3.462	0.1944805045927912
780.0	3.532	0.1980936927595402
782.0	3.586	0.1985727468774835
784.0	3.643	0.1997072548865489
786.0	3.716	0.204886960704352
788.0	3.782	0.2118185806559734
790.0	3.839	0.2089949494339251
792.0	3.902	0.2201849951717089
794.0	3.969	0.2153003070648582
796.0	4.022	0.2183166801678382
798.0	4.093	0.2162440893361932
800.0	4.164	0.2277904061539961
802.0	4.215999999999999	0.2319296402461128
804.0	4.273	0.2315642992591001
806.0	4.351999999999999	0.2331893735799668
808.0	4.422	0.2357662579655148
810.0	4.471	0.2391169454058975
812.0	4.529	0.2364506578130984
814.0	4.61	0.2412532095353575
816.0	4.674	0.2437908940054982
818.0	4.733	0.2465196759232089
820.0	4.791	0.2581844493313708
822.0	4.865	0.2602018210050054
824.0	4.914	0.2649279892842069
826.0	4.981999999999999	0.2560785951882357
828.0	5.039	0.2631062311859773
830.0	5.112	0.2607939918265743
832.0	5.159000000000001	0.2676529446231298
834.0	5.225999999999999	0.2682249378487219
836.0	5.302	0.2701546881983645
838.0	5.347	0.2740100475764336
840.0	5.41	0.275250637747212
842.0	5.465999999999999	0.2713868816029486
844.0	5.535	0.2702032157058419
846.0	5.589	0.2798668113563403
848.0	5.634	0.2734670404678088
850.0	5.696	0.2825148089639738
852.0	5.734	0.2847533045364787
854.0	5.793	0.2841658792212397
856.0	5.845000000000001	0.2879759935124906
858.0	5.888999999999999	0.2970120752419105
860.0	5.959	0.2828211492606867
862.0	6.013	0.2913047701906073
864.0	6.052	0.2951271330992088
866.0	6.112	0.3009230655134708
868.0	6.139	0.302826683104379
870.0	6.192	0.2998819932515837
872.0	6.253	0.2973205444849707
874.0	6.275	0.3145536912696431
876.0	6.32	0.3016412307672235
878.0	6.3660000000000005	0.3033859946147728
880.0	6.409000000000001	0.3039552030021838
882.0	6.456	0.2971243660302683
884.0	6.473	0.3170698408089571
886.0	6.513	0.309156478817866
888.0	6.544	0.3030169697403386
890.0	6.598000000000001	0.2976600513552996
892.0	6.606	0.3242330361459101
894.0	6.6530000000000005	0.3070274849963922
896.0	6.686	0.3046214408445707
898.0	6.710000000000001	0.3276183793213315
900.0	6.726999999999999	0.3128787482573897
902.0	6.752000000000001	0.3141846983724035
904.0	6.78	0.3205073909511619
906.0	6.813000000000001	0.3182958480935312
908.0	6.823	0.3106427029384222
910.0	6.843	0.3089045159915925
912.0	6.877	0.3103417868920621
914.0	6.863	0.3301891713683064
916.0	6.888999999999999	0.3136352367454829
918.0	6.872	0.3102690986550978
920.0	6.917999999999999	0.320263703073222
922.0	6.936999999999999	0.3212821536005731
924.0	6.928999999999999	0.3241500947873025
926.0	6.953	0.3100355216605964
928.0	6.954000000000001	0.3304475080183771
930.0	6.963	0.3259897748907676
932.0	6.978999999999999	0.3458314011547986
934.0	6.98	0.3297817460078711
936.0	7.0	0.3124288758567873
938.0	7.005	0.3181195132200444
940.0	7.014	0.3139138043208834
942.0	7.020999999999999	0.3000344836148415
944.0	7.01	0.3363813972924849
946.0	7.032	0.3193275728236321
948.0	7.057	0.323741323350054
950.0	7.061	0.3064655540227466
952.0	7.058999999999999	0.3314925096448147
954.0	7.09	0.3183981124703653
956.0	7.1240000000000006	0.3199551280267553
958.0	7.119	0.3210458603446621
960.0	7.135	0.3204234852137766
962.0	7.129	0.329549112097045
964.0	7.107	0.3186625212809559
966.0	7.105	0.3063127587496797
968.0	7.0840000000000005	0.3087095002677364
970.0	7.029	0.3128508499604687
972.0	7.024	0.3280160715725323
974.0	6.993	0.3139742066940146
976.0	6.972	0.3185219336595556
978.0	6.946	0.3071756645453689
980.0	6.895	0.2954813189975693
982.0	6.873	0.3013187475984875
984.0	6.829	0.2891165769403899
986.0	6.776999999999999	0.3071564124813204
988.0	6.766	0.2967172657640082
990.0	6.688	0.2929462513377487
992.0	6.631	0.305873531519075
994.0	6.58	0.2932738576067694
996.0	6.53	0.2868316493376004
998.0	6.5	0.2895335115681563
