nm	musp[cm-1]	musp_std[cm-1]
450.0	10.05	0.1366269138209853
452.0	10.05	0.1261568688401689
454.0	10.0	0.1412452555742037
456.0	10.08	0.1465560188687817
458.0	9.985	0.1345010899951238
460.0	9.972	0.1533735052046648
462.0	9.9	0.1508966615572913
464.0	9.889	0.1342138518361323
466.0	9.862	0.1353799408888251
468.0	9.854	0.1362830206900149
470.0	9.884	0.1359510623644575
472.0	9.781	0.1388277198633943
474.0	9.784	0.140438554728824
476.0	9.734	0.1414059911071225
478.0	9.779	0.1213282457215818
480.0	9.704	0.1363351897003018
482.0	9.726	0.1223099685024145
484.0	9.632	0.1496361843082112
486.0	9.672	0.1487443743100521
488.0	9.676	0.1330405117916259
490.0	9.648	0.1223147124792796
492.0	9.592	0.139399063000553
494.0	9.565	0.1158007015053699
496.0	9.522	0.1243392412457955
498.0	9.509	0.1245498561487195
500.0	9.508	0.1233109088723037
502.0	9.477	0.1182783910009676
504.0	9.44	0.1116004778962287
506.0	9.449	0.1150989912109476
508.0	9.39	0.1134666971319104
510.0	9.411	0.1113173641241814
512.0	9.333	0.1122719361831846
514.0	9.327	0.1181202567798106
516.0	9.308	0.1172522868238916
518.0	9.28	0.119403248709862
520.0	9.252	0.1157754318380368
522.0	9.237	0.1153275528416537
524.0	9.214	0.1114979931170776
526.0	9.166	0.1049920631920973
528.0	9.143	0.1080189740991466
530.0	9.119	0.1079022191101223
532.0	9.082	0.1054097238234844
534.0	9.071	0.1061439739687396
536.0	9.068	0.1036744667781244
538.0	9.034	0.1042059925766696
540.0	9.008	0.1070241694175023
542.0	9.002	0.1051648911043398
544.0	8.985	0.1147034824619061
546.0	8.954	0.096305199018665
548.0	8.916	0.102013071057912
550.0	8.885	0.1025628383112963
552.0	8.929	0.110161497609444
554.0	8.871	0.1077177381451688
556.0	8.863	0.1017513308676272
558.0	8.847000000000001	0.0997051207868039
560.0	8.819	0.0976513070971292
562.0	8.788	0.0960243024794592
564.0	8.812	0.0968455560590937
566.0	8.774999999999999	0.0963221190448172
568.0	8.743	0.0984796776679344
570.0	8.693	0.0995535714087993
572.0	8.702	0.1003947763138655
574.0	8.639	0.1018659249536694
576.0	8.606	0.0952073759981045
578.0	8.581	0.0937822537109822
580.0	8.552	0.0914339807703143
582.0	8.530999999999999	0.0945481783256101
584.0	8.485	0.0883399717980708
586.0	8.462	0.0934237657130132
588.0	8.407	0.0959094222897345
590.0	8.399	0.0928069814317283
592.0	8.394	0.0939993433126524
594.0	8.382	0.0975072013801425
596.0	8.362	0.0774932892355406
598.0	8.322000000000001	0.085553102417933
600.0	8.299	0.0939881789257444
602.0	8.274000000000001	0.0857478358795407
604.0	8.251	0.0896033784636423
606.0	8.238999999999999	0.0834547263971591
608.0	8.217	0.081273201815441
610.0	8.203	0.0852486559033827
612.0	8.17	0.0869373266522045
614.0	8.156	0.0821513207816701
616.0	8.137	0.0796396203896179
618.0	8.106	0.0858461155530962
620.0	8.075	0.0819165489242212
622.0	8.063	0.0774137512906388
624.0	8.015	0.0804916988281829
626.0	8.003	0.0863152419196881
628.0	7.972	0.0819287555602688
630.0	7.98	0.073838830160737
632.0	7.931	0.081620773197048
634.0	7.914	0.0791568219999754
636.0	7.907	0.0717110112590979
638.0	7.884	0.0717791537535809
640.0	7.845	0.0806208930430677
642.0	7.816999999999999	0.0791418479615267
644.0	7.805999999999999	0.0753900147299869
646.0	7.782	0.0731772750261095
648.0	7.772	0.0711583176644833
650.0	7.745999999999999	0.0749969546706834
652.0	7.725	0.0834476253277438
654.0	7.702	0.0732514694581464
656.0	7.681	0.0711249986439282
658.0	7.66	0.0707530918052349
660.0	7.640000000000001	0.069950776343877
662.0	7.612	0.0695612351248793
664.0	7.592	0.0716627905928562
666.0	7.572999999999999	0.0676090796736723
668.0	7.538	0.0627448291116238
670.0	7.528	0.0620644825967315
672.0	7.508	0.0610702893960194
674.0	7.476000000000001	0.0640146588150704
676.0	7.462	0.0569131892544348
678.0	7.442	0.0620461795363883
680.0	7.427	0.0593071103100914
682.0	7.41	0.0634929761839161
684.0	7.39	0.0673241651257296
686.0	7.379	0.0641810710143045
688.0	7.34	0.0601284632995505
690.0	7.324000000000001	0.0601645890684693
692.0	7.307	0.0626897120746297
694.0	7.282999999999999	0.0609658880536716
696.0	7.271999999999999	0.0644281588617971
698.0	7.252999999999999	0.0654675492133313
700.0	7.21	0.0636642427306658
702.0	7.199999999999999	0.0654105741442203
704.0	7.182	0.0618564646760724
706.0	7.161	0.062677304061713
708.0	7.142	0.0618015541775887
710.0	7.128	0.0569101522761866
712.0	7.104	0.0593266746159573
714.0	7.093	0.0581530547587809
716.0	7.073	0.063024588578047
718.0	7.041	0.0606296183171552
720.0	7.027	0.057511351536506
722.0	7.005	0.0573294572333164
724.0	6.984	0.0576215837475873
726.0	6.971	0.0589691277253728
728.0	6.9430000000000005	0.0566825685748883
730.0	6.928	0.0573546472010383
732.0	6.912000000000001	0.0560848123188401
734.0	6.894	0.0535101236527569
736.0	6.871	0.0546930830483465
738.0	6.851000000000001	0.0513982273797234
740.0	6.847	0.0589387629474676
742.0	6.8100000000000005	0.0558111896387174
744.0	6.801	0.0571372616308015
746.0	6.773	0.0503807723464241
748.0	6.768	0.0540509590371857
750.0	6.751	0.0575345306943771
752.0	6.7090000000000005	0.0520085463062455
754.0	6.688	0.0536920804790875
756.0	6.67	0.0540961649447387
758.0	6.646	0.0558293254504018
760.0	6.624	0.0515342388881197
762.0	6.625	0.0539501370151238
764.0	6.582	0.0540886332505598
766.0	6.582	0.0528403138279106
768.0	6.548	0.0558916500311976
770.0	6.541	0.0537010471884469
772.0	6.526999999999999	0.0550315285613843
774.0	6.505	0.0543604794717178
776.0	6.488	0.054994949263041
778.0	6.463	0.0550611332526107
780.0	6.447000000000001	0.0522871936260108
782.0	6.437	0.0559086556606199
784.0	6.408	0.0548675172068541
786.0	6.390000000000001	0.0523784896005936
788.0	6.378	0.0561941080343642
790.0	6.352	0.0552609968945347
792.0	6.337000000000001	0.0554817287241686
794.0	6.331	0.0495919149125275
796.0	6.303999999999999	0.0502883046070046
798.0	6.287000000000001	0.0546838274780973
800.0	6.277	0.0493613534040198
802.0	6.254	0.0476198941723693
804.0	6.238	0.0465795483124048
806.0	6.221	0.0475207556991912
808.0	6.212999999999999	0.0431611965646097
810.0	6.182	0.0473568016938081
812.0	6.157	0.0513465591427748
814.0	6.147	0.053510354368957
816.0	6.143999999999999	0.0488681774310451
818.0	6.125	0.0534145215377904
820.0	6.097	0.0519572473823964
822.0	6.088	0.0497403132824079
824.0	6.059	0.051314811473328
826.0	6.046	0.0542609151561254
828.0	6.027	0.0473140284054382
830.0	6.031	0.0488512481359938
832.0	6.009	0.0478224597267955
834.0	5.999	0.0459277478730597
836.0	5.9670000000000005	0.0472905388183347
838.0	5.959	0.0439809161757041
840.0	5.941999999999999	0.0498330546257534
842.0	5.913	0.0523742468050381
844.0	5.917	0.0500843732559814
846.0	5.882	0.048438072975504
848.0	5.878	0.0461061576991379
850.0	5.847	0.0541582044672007
852.0	5.835	0.0533182849140218
854.0	5.814	0.0487102797982592
856.0	5.793	0.0503148114069164
858.0	5.795	0.0500542915119714
860.0	5.769	0.0523027747534829
862.0	5.766	0.0524025256200309
864.0	5.735	0.0552397691773366
866.0	5.728999999999999	0.0551552242804985
868.0	5.707	0.0519058977595245
870.0	5.709	0.056898436698783
872.0	5.68	0.0530627394787308
874.0	5.676	0.0494480647863097
876.0	5.634	0.0567282889344646
878.0	5.636	0.0542970794749237
880.0	5.611000000000001	0.0509683997961264
882.0	5.620000000000001	0.0554632566615606
884.0	5.582000000000001	0.0489658485169782
886.0	5.576	0.0495199174294769
888.0	5.547	0.0518051906451253
890.0	5.531000000000001	0.0545791983166562
892.0	5.540000000000001	0.0524872706496242
894.0	5.507	0.0525197199883466
896.0	5.488	0.0563989317821964
898.0	5.484999999999999	0.0556636725741703
900.0	5.484	0.0527694730308214
902.0	5.456	0.0524491523310616
904.0	5.449000000000001	0.052128994799108
906.0	5.417	0.0533911723410399
