nm	musp[cm-1]	musp_std[cm-1]
600.0	0.9578	0.0
602.0	1.152	0.2325585422115376
604.0	1.672	0.2763066412520698
606.0	1.785	0.1633836657142391
608.0	2.041	0.0
610.0	2.67	0.1224744871391588
612.0	2.78	0.1505363743418846
614.0	3.2135	0.1683795934785449
616.0	3.2395	0.0837048385698222
618.0	3.479	0.9669733736283136
620.0	3.689	0.098506626962634
622.0	3.745	0.0489251128426564
624.0	3.8	0.086860040678477
626.0	3.896	0.0603442797518159
628.0	4.002	0.0817964954424494
630.0	4.12	0.0501324775581903
632.0	4.109	0.0713345448149117
634.0	4.207	0.0794511445795464
636.0	4.2565	0.0216145205822385
638.0	4.316	0.0843300125720858
640.0	4.291	0.0595333706606825
642.0	4.41	0.0754749570109347
644.0	4.425	0.0858991656924948
646.0	4.37	0.0814009978377391
648.0	4.526	0.0901295364091777
650.0	4.449	0.0573139502118716
652.0	4.4965	0.0763671231617375
654.0	4.571	0.0807801466869517
656.0	4.549	0.0681927189191062
658.0	4.554	0.0634433741882875
660.0	4.574	0.0643221061015054
662.0	4.62	0.077567175188134
664.0	4.716	0.0557044376598489
666.0	4.709	0.052999883531202
668.0	4.761	0.0781092934828824
670.0	4.867	0.0782971547659585
672.0	4.876	0.0932070574342713
674.0	4.979	0.0954666252844935
676.0	4.993	0.1144688215677576
678.0	5.081	0.0961292853722154
680.0	5.154	0.1012850762287647
682.0	5.148000000000001	0.0954684357377989
684.0	5.225	0.1105221054923818
686.0	5.285	0.1099687946758951
688.0	5.341	0.1162497311824845
690.0	5.368	0.1003956371094746
692.0	5.442	0.1216967491982926
694.0	5.457	0.1122481818159546
696.0	5.493	0.1186001686339443
698.0	5.517	0.1230661771187247
700.0	5.526	0.12608286516767
702.0	5.57	0.1185346748247215
704.0	5.568999999999999	0.1289224094342055
706.0	5.611000000000001	0.126092558596189
708.0	5.615	0.1311691020527828
710.0	5.646	0.132608865130168
712.0	5.658	0.133976596445281
714.0	5.6610000000000005	0.130027347550856
716.0	5.683	0.1318454014235733
718.0	5.691000000000001	0.1358733978632815
720.0	5.675	0.126458112910907
722.0	5.716	0.1360686101445394
724.0	5.712000000000001	0.1394452855220319
726.0	5.715	0.1353027697653406
728.0	5.727	0.1369077367976759
730.0	5.712000000000001	0.1420915198032591
732.0	5.707	0.1407512471711952
734.0	5.712000000000001	0.1319806383106587
736.0	5.682	0.1442103230838577
738.0	5.659999999999999	0.1420813538474035
740.0	5.632000000000001	0.1375249472318062
742.0	5.5920000000000005	0.1278764836149648
744.0	5.579	0.135147747225941
746.0	5.549	0.1356876405663726
748.0	5.493	0.1369750810896134
750.0	5.444	0.1325434939096512
752.0	5.394	0.1249231862751497
754.0	5.359	0.1261797659426159
756.0	5.305	0.114036814501846
758.0	5.333	0.1212554695215391
760.0	5.337	0.1248359911698467
762.0	5.329000000000001	0.1212948656969635
764.0	5.379	0.1305717720425091
766.0	5.407	0.1249080649572238
768.0	5.434	0.1332414498218073
770.0	5.465999999999999	0.1415170015524463
772.0	5.534	0.1443868261149734
774.0	5.574	0.1420462452952178
776.0	5.577999999999999	0.1481776544690545
778.0	5.626	0.1461869258311104
780.0	5.632000000000001	0.147223941289754
782.0	5.657	0.1533454906613587
784.0	5.658	0.1468305481721812
786.0	5.684	0.1517161091571284
788.0	5.68	0.1416728974664641
790.0	5.7010000000000005	0.1495822165438557
792.0	5.709999999999999	0.1482301347213384
794.0	5.699	0.1528107843133759
796.0	5.694	0.1440393464763475
798.0	5.707	0.1514867064208016
800.0	5.709	0.1464050697361412
802.0	5.702	0.1503404367213967
804.0	5.694	0.1559330340598525
806.0	5.6930000000000005	0.1497655781381746
808.0	5.691000000000001	0.1507456364661354
810.0	5.695	0.1479331680936436
812.0	5.689	0.1580410948276461
814.0	5.674	0.1490886719330663
816.0	5.657	0.1504903918019065
818.0	5.657	0.1492828122212713
820.0	5.655	0.1501887701083764
822.0	5.648999999999999	0.1511526903580256
824.0	5.643000000000001	0.1507537440928907
826.0	5.642	0.1514331535694873
828.0	5.622	0.1543257737529426
830.0	5.623	0.1553810926419856
832.0	5.614	0.1538951863934076
834.0	5.608	0.155538332379855
836.0	5.606999999999999	0.1599790109689934
838.0	5.598	0.1546975543870469
840.0	5.589	0.1480115944740998
842.0	5.585	0.1578628878426612
844.0	5.582000000000001	0.158435951151511
846.0	5.565	0.1564105076827648
848.0	5.558	0.1559287586616969
850.0	5.536	0.1607370369943666
852.0	5.539	0.1597579959937862
854.0	5.545999999999999	0.1620809125783236
856.0	5.526999999999999	0.1570784973221592
858.0	5.510000000000001	0.1586477579769445
860.0	5.503	0.1606418453241118
862.0	5.488	0.1583550472440154
864.0	5.484999999999999	0.1629549661337583
866.0	5.49	0.1616824352752739
868.0	5.461	0.161276696517216
870.0	5.461	0.1532006672454284
872.0	5.45	0.1606771166111379
874.0	5.452	0.154602317392754
876.0	5.448	0.1571644573899157
878.0	5.438	0.167967589466275
880.0	5.438	0.1622397250831672
882.0	5.402	0.1572109536597795
884.0	5.395	0.1580126577208294
886.0	5.394	0.1628578869997539
888.0	5.374	0.1645405124791872
890.0	5.377	0.1647591583096779
892.0	5.37	0.1624284077811545
894.0	5.332	0.1619869679257494
896.0	5.351	0.1611710233430069
898.0	5.3420000000000005	0.1639966877112064
900.0	5.335	0.1596661640756026
902.0	5.316	0.1629048802215573
904.0	5.322	0.1595341211229406
906.0	5.324999999999999	0.1650203878163596
908.0	5.319000000000001	0.1641273218503788
910.0	5.323	0.1621384867602043
912.0	5.324	0.1694146786241775
914.0	5.3100000000000005	0.1651551459150524
916.0	5.305	0.1696159059627237
918.0	5.283	0.1660797071764111
920.0	5.303	0.1632385968641388
922.0	5.292	0.163409128294219
924.0	5.2700000000000005	0.1625036371862657
926.0	5.263	0.1625154883407034
928.0	5.269	0.1621309484473722
930.0	5.273	0.1516040977979677
932.0	5.293	0.1635128265441108
934.0	5.276	0.1659387065183636
936.0	5.279	0.1675662389756493
938.0	5.271	0.1624081126721458
940.0	5.286999999999999	0.1614606935311365
942.0	5.269	0.1678077235968756
944.0	5.281000000000001	0.1651440074900587
946.0	5.298	0.1609576280413309
948.0	5.283	0.1617728173842701
950.0	5.32	0.1636018201474407
952.0	5.339	0.1595830988297283
954.0	5.321	0.1605497499911545
956.0	5.328	0.1540464896959821
958.0	5.327	0.1534394157998124
960.0	5.3500000000000005	0.1542271853187953
962.0	5.329000000000001	0.1605948048911444
964.0	5.326	0.1559686578201603
966.0	5.3420000000000005	0.1525606942567412
968.0	5.356999999999999	0.1509050065029465
970.0	5.346	0.1498550740211241
972.0	5.347	0.151606296491282
974.0	5.348000000000001	0.1494053232561809
976.0	5.354	0.1463633226673342
978.0	5.356	0.1494151561552202
980.0	5.374	0.1491360303734665
982.0	5.351	0.1501693694005966
984.0	5.366999999999999	0.1439864534094512
986.0	5.377	0.1472239412897537
988.0	5.365	0.148408179202903
990.0	5.385999999999999	0.1473193390370761
992.0	5.376	0.1470160820966934
994.0	5.373	0.1403918677958588
996.0	5.371	0.1382636593837037
998.0	5.368	0.1418301888496796
1000.0	5.382	0.1428705707974879
1002.0	5.396	0.1448422726644995
1004.0	5.389	0.1435687988387448
1006.0	5.388	0.1426410499674006
1008.0	5.389	0.1425096054808973
1010.0	5.396	0.1450438843766319
1012.0	5.399000000000001	0.1385932854269358
1014.0	5.385	0.1435424830649257
1016.0	5.393	0.1392235966944654
1018.0	5.404999999999999	0.1438508315179132
1020.0	5.388	0.1405305643131517
1022.0	5.388	0.1331381905306579
1024.0	5.401	0.1417321417322125
1026.0	5.393	0.1374959483129199
1028.0	5.395	0.1359837499369451
1030.0	5.387	0.1404722194757539
1032.0	5.388	0.1359395290397737
1034.0	5.384	0.1358022345676987
1036.0	5.356	0.1323920478011712
1038.0	5.385	0.1347087393024091
1040.0	5.382	0.1334725199441701
1042.0	5.377	0.1311953589965064
1044.0	5.371	0.1350102876738578
1046.0	5.354	0.1318889356922128
1048.0	5.356	0.1312571691163743
1050.0	5.363	0.1271605381757086
1052.0	5.356	0.1336363224077443
1054.0	5.351	0.1356496940880181
1056.0	5.348000000000001	0.136946686932282
1058.0	5.32	0.1320605921537534
1060.0	5.332	0.1246111978005344
1062.0	5.323	0.1349489158035114
1064.0	5.341	0.1300452912556921
1066.0	5.319000000000001	0.1252011714535186
1068.0	5.323	0.1234423942223985
1070.0	5.326	0.1263277141328245
1072.0	5.334	0.1365054152591087
1074.0	5.313	0.130469238605206
1076.0	5.311	0.1232260794907745
1078.0	5.322	0.1272507973731354
1080.0	5.295	0.1207554410501237
1082.0	5.329000000000001	0.1321699242978101
1084.0	5.28	0.1189193107494986
1086.0	5.314	0.1248216505436634
1088.0	5.301	0.1249115242437178
1090.0	5.309	0.1234386937354373
1092.0	5.286	0.1212106624491345
1094.0	5.294	0.1235638486425461
1096.0	5.299	0.128945102683944
1098.0	5.288	0.1210966352205063
1100.0	5.284	0.1236102996228046
1102.0	5.281000000000001	0.1246890453275322
1104.0	5.279	0.1299863240669741
1106.0	5.28	0.1233378377555816
1108.0	5.282	0.1289140779983814
1110.0	5.247000000000001	0.1244121982031038
1112.0	5.244999999999999	0.1303409583826158
1114.0	5.225999999999999	0.1262563529754707
1116.0	5.221	0.1166407378594419
1118.0	5.202	0.131281809784322
1120.0	5.204	0.1356977396392802
1122.0	5.207000000000001	0.1239603680194044
1124.0	5.187	0.1226999753488864
1126.0	5.163	0.1225036154669286
1128.0	5.175	0.1272135368214298
1130.0	5.149	0.1217620630574236
1132.0	5.139	0.1214057577905239
1134.0	5.1370000000000005	0.1181704147135832
1136.0	5.128	0.1275037641661737
1138.0	5.135	0.1269742853329068
1140.0	5.113	0.1246611208907106
1142.0	5.1160000000000005	0.1224273026920238
1144.0	5.118	0.1208617208033856
1146.0	5.097	0.119818381079217
1148.0	5.093	0.1198805990337524
1150.0	5.08	0.1113999578872627
1152.0	5.077	0.1093089403683178
