nm,mua[cm-1],mua_std[cm-1],mus[cm-1],mus_std[cm-1],mus_fit[cm-1],musp[cm-1],musp_std[cm-1],assumed_g
450.0,1.125,0.25162778703846794,49.15000000000001,1.2755749127451086,25.330323574897264,4.915,0.12755749127451077,0.9
452.0,1.111,0.25182577751735874,48.88000000000001,1.3363475189328666,25.33354010547207,4.888,0.13363475189328658,0.9
454.0,1.105,0.2458215753622538,48.53000000000001,1.2973486733515078,25.336757044492867,4.853,0.12973486733515072,0.9
456.0,1.107,0.25155270905338856,48.410000000000004,1.2998356971195149,25.339974392011513,4.840999999999999,0.12998356971195132,0.9
458.0,1.101,0.2512477504352336,48.13000000000001,1.331978014870653,25.34319214807988,4.813,0.1331978014870653,0.9
460.0,1.099,0.2465287902952604,48.02000000000002,1.2622740599684135,25.346410312749853,4.8020000000000005,0.1262274059968413,0.9
462.0,1.104,0.2513429608137401,47.52000000000001,1.175594412296272,25.349628886073308,4.752,0.11755944122962711,0.9
464.0,1.107,0.2452671005603564,47.320000000000014,1.159745608546637,25.352847868102142,4.732,0.1159745608546637,0.9
466.0,1.1079999999999999,0.24875576797084614,46.96000000000001,1.1900897362161051,25.35606725888826,4.696,0.11900897362161036,0.9
468.0,1.086,0.24685893407639373,46.87000000000001,1.2097086681215414,25.359287058483556,4.687,0.12097086681215413,0.9
470.0,1.082,0.24698333027169822,46.62000000000001,1.203579024881956,25.362507266939947,4.662,0.12035790248819565,0.9
472.0,1.085,0.2470161688115193,46.17000000000001,1.1605362745060763,25.365727884309354,4.617,0.11605362745060759,0.9
474.0,1.084,0.24494222044805727,46.27000000000001,1.1488168900715126,25.3689489106437,4.627,0.11488168900715127,0.9
476.0,1.076,0.25188798215785435,45.85000000000001,1.0233110143542732,25.372170345994917,4.585,0.10233110143542717,0.9
478.0,1.083,0.24941892965277476,46.070000000000014,1.1489705537276982,25.375392190414942,4.607,0.11489705537276987,0.9
480.0,1.079,0.24881903781713907,45.50000000000001,1.145280169507299,25.378614443955723,4.55,0.11452801695072987,0.9
482.0,1.06,0.24746168178248784,45.34000000000002,1.1513191575185104,25.381837106669202,4.534000000000001,0.11513191575185105,0.9
484.0,1.065,0.2511346596628004,45.24000000000001,1.0719740645471452,25.385060178607358,4.524,0.1071974064547146,0.9
486.0,1.059,0.24424082428397095,44.89000000000001,1.0767337440405382,25.388283659822132,4.489,0.10767337440405383,0.9
488.0,1.0539999999999998,0.25183636662633846,44.370000000000005,1.068433721521344,25.391507550365514,4.436999999999999,0.10684337215213448,0.9
490.0,1.052,0.25106351564671614,44.25000000000001,1.0810568674298686,25.39473185028947,4.425,0.10810568674298698,0.9
492.0,1.056,0.24840548293187348,44.31000000000001,1.1018514161219182,25.397956559645984,4.431,0.11018514161219185,0.9
494.0,1.042,0.25034775812856797,43.81000000000001,1.1184292336206558,25.401181678487056,4.381,0.11184292336206549,0.9
496.0,1.0430000000000001,0.252270577841421,43.70000000000001,1.118349754253788,25.404407206864683,4.37,0.1118349754253787,0.9
498.0,1.037,0.2462657903692124,43.660000000000004,1.1422243839149462,25.40763314483086,4.366,0.11422243839149461,0.9
