nm,lard mua,lard mua std,lard mus,lard mus std,lard mus fit,lard musp,lard musp std,lard g,WB S oxy mua,WB S oxy mua std,WB S deoxy mua,WB S deoxy mua std,WB oxy mua,WB oxy mua std,WB oxy mus,WB oxy mus std,WB oxy mus fit,WB oxy musp,WB oxy musp std,WB oxy g,WB deoxy mua,WB deoxy mua std,WB deoxy mus,WB deoxy mus std,WB deoxy mus fit,WB deoxy musp,WB deoxy musp std,WB deoxy g,copolymer mua,copolymer mua std,copolymer mus,copolymer mus std,copolymer mus fit,copolymer musp,copolymer musp std,copolymer g,agar mua,agar mua std,agar mus,agar mus std,agar mus fit,agar musp,agar musp std,agar g,agar musp fit,PDMS mua,PDMS mua std,PDMS mus,PDMS mus std,PDMS mus fit,PDMS musp,PDMS musp std,PDMS g
450.0,0.1548,0.0047113993622508,58.633333333333326,3.251362487433746,53.61938968477499,17.59,0.975408746230124,0.7,261.6,2.25289936649543,156.1,27.59833328300823,,,,,,,,,,,,,,,,,0.9255,0.0191362625193603,33.49999999999999,0.4554230460699515,33.353077491217434,10.05,0.1366269138209853,0.7,1.125,0.2516277870384679,49.15000000000001,1.2755749127451086,25.330323574897264,4.915,0.1275574912745107,0.9,5.065235387485423,0.1601,0.0056454067421179,64.29000000000002,0.8136854125626701,65.4887121678012,6.429,0.0813685412562669,0.9
452.0,0.1565,0.0061436105522147,58.73333333333333,3.2483909702724523,53.473889597083314,17.62,0.974517291081736,0.7,236.0,2.44999370117608,163.79999999999998,19.50132632399811,,,,,,,,,,,,,,,,,0.9217,0.0192967917758239,33.49999999999999,0.420522896133896,33.26552932341434,10.05,0.1261568688401689,0.7,1.111,0.2518257775173587,48.88000000000001,1.3363475189328666,25.33354010547207,4.888,0.1336347518932865,0.9,5.027587476132602,0.1616,0.0060392134227424,64.62000000000002,0.7752562300441179,65.30886035132072,6.462,0.0775256230044119,0.9
454.0,0.1397,0.0086741136096768,58.09999999999999,2.9040816080617584,53.32878433439139,17.43,0.8712244824185279,0.7,216.1,4.533193548702711,134.3,15.45647013828844,,,,,,,,,,,,,,,,,0.9192,0.0212604019566429,33.33333333333333,0.4708175185806777,33.17821095994303,10.0,0.1412452555742037,0.7,1.105,0.2458215753622538,48.53000000000001,1.2973486733515078,25.336757044492867,4.853,0.1297348673351507,0.9,4.990551083927468,0.1655999999999999,0.0064398834434663,64.54,0.6217259926016789,65.12950246234045,6.454,0.0621725992601678,0.9
456.0,0.1427999999999999,0.0065515807158687,58.2,2.9506410454128726,53.18407282531305,17.46,0.885192313623862,0.7,209.79999999999998,6.07304495290459,116.3,13.59515472875411,,,,,,,,,,,,,,,,,0.9169,0.0201784813876344,33.599999999999994,0.4885200628959386,33.09112179759234,10.08,0.1465560188687817,0.7,1.107,0.2515527090533885,48.41,1.2998356971195149,25.339974392011516,4.840999999999999,0.1299835697119513,0.9,4.954112025630703,0.1631,0.0061480098154897,64.20000000000002,0.7426396032039457,64.950637144386,6.42,0.0742639603203944,0.9
458.0,0.1345,0.0171295787787033,57.83333333333333,3.0066592756745814,53.0397540013694,17.35,0.901997782702375,0.7,193.70000000000002,3.3443152429824,97.72999999999999,11.748542961933401,,,,,,,,,,,,,,,,,0.9182,0.0192897081239238,33.28333333333333,0.4483369666504125,33.00426123473451,9.985,0.1345010899951238,0.7,1.101,0.2512477504352336,48.13000000000001,1.331978014870653,25.34319214807988,4.813,0.1331978014870653,0.9,4.918256523697677,0.1664,0.00590381755548,64.30000000000001,0.8234075540095579,64.77226304470834,6.43,0.0823407554009555,0.9
460.0,0.133,0.0072628430307207,57.63333333333332,2.8606310276830897,52.89582679698098,17.29,0.8581893083049268,0.7,182.5,4.22421005837587,85.33000000000001,9.22099831235985,,,,,,,,,,,,,,,,,0.9185,0.0201654698144999,33.239999999999995,0.5112450173488822,32.91762867132093,9.972,0.1533735052046648,0.7,1.099,0.2465287902952604,48.02000000000002,1.2622740599684137,25.346410312749853,4.8020000000000005,0.1262274059968413,0.9,4.882971194584681,0.1649,0.0054446938718374,64.14000000000001,0.7289532491910369,64.59437881427344,6.414,0.0728953249191037,0.9
462.0,0.1314,0.0077006493232713,57.766666666666666,2.8851685446199147,52.75229014945981,17.330000000000002,0.8655505633859749,0.7,171.45,1.93218356615858,75.92,8.68730590865875,,,,,,,,,,,,,,,,,0.9207,0.0216362863932073,32.99999999999999,0.5029888718576381,32.8312235088781,9.9,0.1508966615572913,0.7,1.104,0.2513429608137401,47.52000000000001,1.175594412296272,25.349628886073308,4.752,0.1175594412296271,0.9,4.848243035576809,0.1694999999999999,0.0061096361856486,63.91000000000001,0.6727720432822897,64.41698310775219,6.391,0.0672772043282285,0.9
464.0,0.1251,0.0050607421502296,57.43333333333332,2.964231210055426,52.609142999001634,17.23,0.8892693630166283,0.7,166.0,2.21933145311046,72.66,7.82885940007692,,,,,,,,,,,,,,,,,0.9097,0.0196241222183186,32.963333333333324,0.4473795061204411,32.74504515050344,9.889,0.1342138518361323,0.7,1.107,0.2452671005603564,47.320000000000014,1.159745608546637,25.352847868102145,4.732,0.1159745608546637,0.9,4.8140594121153555,0.1636999999999999,0.0075356928458282,63.990000000000016,0.8698204724660114,64.24007458351011,6.399,0.086982047246601,0.9
466.0,0.1176,0.0048152535412651,57.26666666666666,2.939252352142421,52.466384288678015,17.18,0.8817757056427266,0.7,158.9,2.39165214862027,70.22,7.62808990216788,,,,,,,,,,,,,,,,,0.9105,0.0172153964968341,32.87333333333333,0.4512664696294174,32.65909300086114,9.862,0.1353799408888251,0.7,1.108,0.2487557679708461,46.96000000000001,1.1900897362161051,25.35606725888826,4.696,0.1190089736216103,0.9,4.780408045603631,0.1655999999999999,0.0062115980727413,63.73,0.5785230236463308,64.06365190359725,6.372999999999999,0.0578523023646329,0.9
468.0,0.114,0.0072128143853855,56.76666666666666,3.018261747770086,52.32401296442859,17.03,0.905478524331026,0.7,150.60000000000002,3.6250500209405296,66.42000000000002,8.435712444390479,,,,,,,,,,,,,,,,,0.9103,0.01841781209778,32.846666666666664,0.4542767356333834,32.57336646617812,9.854,0.1362830206900149,0.7,1.086,0.2468589340763937,46.87000000000001,1.2097086681215414,25.35928705848356,4.687,0.1209708668121541,0.9,4.747277001671088,0.1641,0.0061122827159744,63.29000000000002,0.621821299406077,63.88771373373812,6.329000000000001,0.0621821299406075,0.9
