nm,mua[cm-1],mua_std[cm-1],mus[cm-1],mus_std[cm-1],mus_fit[cm-1],musp[cm-1],musp_std[cm-1],assumed_g
450.0,2.616,0.022528993664954384,1.536000000000169,255.29152930777207,957.7782638097909,0.0003072,0.05105830586154878,0.9998
452.0,2.36,0.02449993701176084,614.0000000000675,170.07934749536997,944.9973867415094,0.12279999999999999,0.034015869499070255,0.9998
454.0,2.161,0.04533193548702718,698.0000000000769,200.89297202975118,932.3870614854858,0.1396,0.04017859440594581,0.9998
456.0,2.098,0.06073044952904593,449.7000000000495,263.30696196595,919.945012147781,0.08993999999999999,0.0526613923931842,0.9998
458.0,1.937,0.03344315242982403,692.5000000000762,147.1322353917142,907.6689932046588,0.13849999999999998,0.0294264470783396,0.9998
460.0,1.825,0.042242100583758754,737.0000000000812,129.49226012431188,895.5567890973166,0.1474,0.025898452024859527,0.9998
462.0,1.7145,0.019321835661585855,701.7500000000773,65.1392205630102,883.6062138320264,0.14035,0.013027844112600604,0.9998
464.0,1.6600000000000001,0.022193314531104662,644.500000000071,164.29154321767587,871.8151105856074,0.12890000000000001,0.03285830864353156,0.9998
466.0,1.5890000000000002,0.023916521486202772,759.0000000000837,110.22022679646604,860.1813513161674,0.15180000000000002,0.022044045359290776,0.9998
468.0,1.5060000000000002,0.03625050020940534,764.5000000000842,214.83895662556358,848.7028363790362,0.1529,0.04296779132510798,0.9998
470.0,1.429,0.018928436657202174,776.0000000000855,72.7651379860137,837.3774941478233,0.1552,0.014553027597201139,0.9998
472.0,1.384,0.020208786745581606,676.5000000000746,84.71120146900626,826.2032806405365,0.1353,0.016942240293799385,0.9998
474.0,1.3339999999999999,0.025930581592559655,731.0000000000805,88.55552070263775,815.1781791506836,0.1462,0.0177111041405256,0.9998
476.0,1.258,0.02612363765719549,779.5000000000857,94.34278842814125,804.3001998833032,0.15589999999999998,0.018868557685626175,0.9998
478.0,1.2305000000000001,0.014422205101855993,710.5000000000782,119.28633356341845,793.5673795958462,0.1421,0.023857266712681065,0.9998
