nm,cm-1
1129.4736842105262, 0.10217527008854256
1123.2793522267207, 0.11751504140703889
1135.668016194332, 0.12535187691885044
1135.668016194332, 0.14573081774064148
1137.7327935222672, 0.1731082464192877
1145.9919028340082, 0.20125112545911625
1145.9919028340082, 0.20785334084218424
1145.9919028340082, 0.24690129310614983
1145.9919028340082, 0.2779234764924106
1152.1862348178138, 0.32310657402266824
1152.1862348178138, 0.37161519017524114
1154.251012145749, 0.44142793481399567
1156.3157894736842, 0.5300283082408482
1162.510121, 0.6364119381231071
1164.5748987854251, 0.7641481571613827
1172.8340080971661, 0.7977543093729471
1183.157894736842, 0.9077033227533106
1183.157894736842, 1.0328058557089124
1189.3522267206476, 1.1878630004490203
1191.417004048583, 1.2535187691885046
1193.4817813765183, 1.4417119713804982
1199.676113360324, 1.7125563081073105
1210, 1.8665001853237424
1212.0647773279352, 1.731082464192877
1224.4534412955468, 1.4730731006568738
1224.4534412955468, 1.1878630004490203
1224.4534412955468, 1.1501319380433581
1230.6477732793524, 0.9374813069860549
1230.6477732793524, 0.7892166913454511
1230.6477732793524,0.678852936
1236.842105263158, 0.5902391838749417
1236.842105263158, 0.5714909347311979
1238.906882591093, 0.4811084565435328
1238.906882591093, 0.4608413093393003
1245.101214574899, 0.3963974400406571
1249.2307692307693, 0.37161519017524114
1247.1659919028339, 0.3094954050454708
1253.360324, 0.2964576193907456
1257.4898785425103, 0.24690129310614983
1261.6194331983806, 0.23396930149971307
1267.8137651821862, 0.20562888099408325
1271.9433198380566, 0.18465247800600967
1286.3967611336034, 0.1676096678406874
1288.4615384615386, 0.1426282676956517
1294.6558704453441, 0.13809784956898066
1298.7854251012145, 0.1213702228990652
1311.174089068826, 0.11751504140703889
1331.8218623481782, 0.11501319380433582
1350.4048582995952, 0.12670791317086932
1352.4696356275304, 0.1473073100656874
1358.663967611336, 0.15378567664623777
1358.663967611336, 0.18072130158892125
1358.663967611336, 0.21010186453575208
1358.663967611336, 0.22653754353388886
1362.7935222672065,0.266215688
1362.7935222672065, 0.2779234764924106
1362.7935222672065, 0.32310657402266824
1362.7935222672065, 0.3756352629660522
1366.923076923077, 0.4094015972620127
1366.923076923077, 0.43670374460928096
1371.0526315789475, 0.5077003661740975
1368.9878542510123, 0.5839224060931374
1377.246963562753, 0.6644004325811319
1383.4412955465586, 0.7641481571613827
1385.5060728744938, 0.8883786869040985
1393.7651821862346, 1.1135993581813242
1410.2834008097166, 1.2401035305418573
1424.7368421052633, 1.0782271924832918
1439.1902834008097, 0.9476228275528848
