nm,mua_oxy[mm-1],mua_deoxy[mm-1],mus_oxy[mm-1],g
586,16.51,16.33,77.42,0.9692
588,12.68,15.3,79.88,0.9708
590,9.72,14.21,81.67,0.9724
592,7.32,13.12,83.13,0.9743
594,5.66,11.92,84.67,0.9759
596,4.48,10.6,85.58,0.9774
598,3.6,9.29,86.21,0.9784
600,2.62,7.53,86.88,0.9794
605,1.51,5.55,87.89,0.9809
610,0.88,4.07,88.09,0.9815
615,0.63,3.27,88.09,0.982
620,0.46,2.82,88.28,0.9823
625,0.35,2.48,88.5,0.9824
630,0.28,2.27,88.55,0.9826
635,0.24,2.1,88.63,0.9827
640,0.2,1.98,88.84,0.9827
645,0.17,1.89,88.55,0.9826
650,0.16,1.8,88.01,0.9825
655,0.16,1.71,87.72,0.9825
660,0.15,1.64,87.61,0.9826
665,0.14,1.58,87.51,0.9828
670,0.14,1.51,87.25,0.9832
675,0.14,1.43,86.82,0.983
680,0.14,1.35,86.61,0.9831
685,0.14,1.26,86.57,0.9834
690,0.13,1.17,86.35,0.9835
695,0.13,1.1,86.18,0.9835
700,0.14,1,85.7,0.9836
705,0.14,0.93,83.7,0.9837
710,0.17,0.87,83.33,0.9841
715,0.17,0.8,82.99,0.984
720,0.18,0.75,82.57,0.9839
725,0.19,0.72,82.18,0.9839
730,0.2,0.7,81.64,0.9839
735,0.21,0.7,81.09,0.9839
740,0.22,0.72,80.66,0.9839
745,0.23,0.76,80.4,0.9838
750,0.24,0.81,80.22,0.9837
755,0.26,0.85,79.85,0.9836
760,0.27,0.84,79.41,0.9835
765,0.29,0.8,78.93,0.9835
770,0.3,0.73,78.42,0.9833
775,0.31,0.66,78,0.9832
780,0.33,0.59,77.61,0.9832
785,0.34,0.54,77.19,0.9832
790,0.36,0.51,76.82,0.9832
795,0.37,0.48,76.77,0.9831
800,0.38,0.47,76.73,0.9833
805,0.39,0.46,76.47,0.9832
810,0.4,0.45,76.1,0.9833
815,0.42,0.44,75.7,0.9833
820,0.43,0.44,75.48,0.9834
825,0.45,0.43,75.27,0.9835
830,0.46,0.43,75.06,0.9835
835,0.47,0.43,74.83,0.9834
840,0.48,0.43,74.65,0.9834
845,0.48,0.43,74.51,0.9833
850,0.49,0.42,74.2,0.9832
855,0.51,0.43,73.58,0.9831
860,0.51,0.43,72.87,0.9831
865,0.52,0.43,72.43,0.9831
