nm,mua[cm-1],mua_std[cm-1],mus[cm-1],mus_std[cm-1],mus_fit[cm-1],musp[cm-1],musp_std[cm-1],assumed_g
450.0,0.1601,0.00564540674211793,64.29000000000002,0.8136854125626701,65.4887121678012,6.429,0.08136854125626697,0.9
452.0,0.16160000000000002,0.006039213422742411,64.62000000000002,0.7752562300441179,65.30886035132072,6.462,0.07752562300441197,0.9
454.0,0.16559999999999997,0.006439883443466351,64.54,0.6217259926016789,65.12950246234045,6.454,0.06217259926016787,0.9
456.0,0.16310000000000002,0.006148009815489728,64.20000000000002,0.7426396032039457,64.950637144386,6.42,0.07426396032039445,0.9
458.0,0.1664,0.005903817555480097,64.30000000000001,0.8234075540095579,64.77226304470834,6.43,0.08234075540095553,0.9
460.0,0.16490000000000002,0.005444693871837481,64.14000000000001,0.7289532491910369,64.59437881427344,6.414,0.07289532491910378,0.9
462.0,0.16949999999999998,0.006109636185648674,63.91000000000001,0.6727720432822897,64.41698310775219,6.391,0.06727720432822858,0.9
464.0,0.16369999999999998,0.007535692845828223,63.990000000000016,0.8698204724660114,64.24007458351011,6.399,0.08698204724660104,0.9
466.0,0.16559999999999997,0.006211598072741341,63.730000000000004,0.5785230236463308,64.06365190359725,6.372999999999999,0.05785230236463295,0.9
468.0,0.16410000000000002,0.0061122827159744535,63.29000000000002,0.621821299406077,63.88771373373812,6.329000000000001,0.06218212994060753,0.9
470.0,0.1652,0.0054429249580318076,63.63000000000001,0.6007978234742175,63.712258743321534,6.3629999999999995,0.060079782347421874,0.9
472.0,0.1608,0.005707305260219866,63.30000000000001,0.5298940029109493,63.53728560539054,6.33,0.05298940029109486,0.9
474.0,0.1593,0.004179166435877541,63.040000000000006,0.650517362955194,63.362792996632436,6.303999999999999,0.06505173629551923,0.9
476.0,0.1644,0.00580231967235923,62.89000000000001,0.7162108800425764,63.18877959736876,6.289,0.0716210880042576,0.9
478.0,0.1611,0.0058695910219905495,63.21000000000001,0.6768554744798454,63.01524409154523,6.321,0.06768554744798454,0.9
480.0,0.1604,0.007650127086816568,62.88000000000002,0.6457630188724094,62.842185166721904,6.288,0.06457630188724098,0.9
482.0,0.1628,0.006253196713346103,62.76000000000002,0.5894211431146822,62.66960151406317,6.276000000000001,0.058942114311468216,0.9
484.0,0.16199999999999998,0.0066839405838468565,62.48000000000002,0.5920043376551148,62.49749182832784,6.248,0.059200433765511415,0.9
486.0,0.16310000000000002,0.0061273521560658226,62.31000000000001,0.7116334886879808,62.32585480785937,6.231,0.07116334886879806,0.9
488.0,0.164,0.006615264801582911,62.28000000000001,0.6874590896918898,62.15468915457597,6.228,0.06874590896918889,0.9
490.0,0.16199999999999998,0.006315941031319967,62.06000000000002,0.6984709932381306,61.9839935739607,6.206,0.06984709932381299,0.9
492.0,0.1642,0.007789451556788551,62.12000000000001,0.8117531705367994,61.81376677505181,6.212,0.08117531705367981,0.9
494.0,0.1629,0.0072151760499726365,61.65000000000002,0.6975672010638115,61.64400747043291,6.165000000000001,0.06975672010638113,0.9
496.0,0.16670000000000001,0.006497862896539314,61.97000000000001,0.7348771628268533,61.474714376223254,6.197,0.07348771628268538,0.9
498.0,0.16060000000000002,0.009278769075451533,61.180000000000014,0.7704800491724877,61.30588621206801,6.118,0.0770480049172488,0.9
500.0,0.1621,0.008999753083032642,61.27000000000002,0.7435649863252591,61.13752170112857,6.127000000000001,0.07435649863252596,0.9
502.0,0.16219999999999998,0.007983516969974853,61.14000000000002,0.7886149759210204,60.96961957007296,6.114000000000001,0.07886149759210213,0.9
504.0,0.16060000000000002,0.009822322774749263,60.830000000000005,0.7579276489135759,60.80217854906611,6.082999999999999,0.07579276489135761,0.9
506.0,0.1627,0.008906690507841236,60.960000000000015,0.7102425250887495,60.63519737176033,6.096,0.07102425250887508,0.9
508.0,0.1643,0.007090682462060885,60.84000000000002,0.7834460123843822,60.46867477528568,6.0840000000000005,0.07834460123843821,0.9
510.0,0.16310000000000002,0.008160201522566026,60.610000000000014,0.5581472879641438,60.30260950024049,6.061,0.05581472879641441,0.9
512.0,0.1626,0.008268413793870423,60.47000000000002,0.6581811826053717,60.13700029068173,6.047000000000001,0.06581811826053717,0.9
514.0,0.16,0.008598937631769504,60.11000000000001,0.6131843619405121,59.97184589411562,6.010999999999999,0.06131843619405126,0.9
516.0,0.1623,0.007741247546761885,60.320000000000014,0.614264590916911,59.807145061488065,6.032,0.061426459091691143,0.9
518.0,0.1619,0.007114304838375519,60.09000000000002,0.5922670402053302,59.642896547175276,6.009,0.05922670402053299,0.9
520.0,0.1604,0.007306127987712739,59.97000000000001,0.5557732906656127,59.47909910897431,5.997,0.05557732906656125,0.9
522.0,0.1626,0.008732753726879105,59.54000000000002,0.6158001920616867,59.315751508093705,5.954000000000001,0.06158001920616877,0.9
524.0,0.1597,0.008137764427442172,59.50000000000001,0.6521607012438838,59.15285250914409,5.949999999999999,0.06521607012438828,0.9
526.0,0.1588,0.007695886347047143,59.21000000000001,0.6810521997361378,58.99040088012883,5.920999999999999,0.06810521997361374,0.9
528.0,0.16199999999999998,0.007399866531996236,59.34000000000002,0.6768025771191036,58.82839539243475,5.934,0.06768025771191034,0.9
530.0,0.16119999999999998,0.0064641652283002025,59.180000000000014,0.7175231746590767,58.66683482082281,5.918,0.07175231746590764,0.9
532.0,0.1632,0.007094129028053173,58.960000000000015,0.6502497146158736,58.50571794341882,5.896,0.06502497146158734,0.9
534.0,0.16049999999999998,0.006901368624330172,58.94000000000001,0.7059587649273702,58.34504354170428,5.894,0.07059587649273702,0.9
536.0,0.1619,0.007119769034955497,58.65000000000001,0.6926456703765321,58.184810400507054,5.865,0.06926456703765324,0.9
538.0,0.1628,0.0066089352161568405,58.680000000000014,0.7236788729202411,58.025017307992286,5.868,0.07236788729202406,0.9
540.0,0.1633,0.007127689009579749,58.350000000000016,0.7207095269400992,57.86566305565315,5.835,0.07207095269400987,0.9
542.0,0.1621,0.007086136700158507,58.19000000000001,0.794836732982797,57.706746438301764,5.819,0.07948367329827964,0.9
544.0,0.1596,0.0070174385957017405,57.91000000000001,0.7688342947862743,57.548266254060046,5.7909999999999995,0.07688342947862752,0.9
546.0,0.15949999999999998,0.008098391853774669,57.750000000000014,0.7633422286397417,57.39022130435063,5.775,0.07633422286397418,0.9
548.0,0.15839999999999999,0.007246625438568876,57.70000000000001,0.7907802054511326,57.23261039388783,5.77,0.07907802054511323,0.9
550.0,0.1589,0.007165503781622362,57.400000000000006,0.6329296959378672,57.07543233066856,5.739999999999999,0.06329296959378664,0.9
